지역,휘발유,경유,LPG,전기,년월
서울,1660278,1023497,225643,67351,2023.08
부산,740471,524988,103391,30148,2023.08
대구,600917,443632,102480,28336,2023.08
인천,842204,588110,102482,34094,2023.08
광주,319048,258552,87776,11054,2023.08
대전,351166,241384,65740,16263,2023.08
울산,305941,208555,34524,6960,2023.08
세종,98227,65422,13055,3882,2023.08
경기,3166169,2408881,392137,99925,2023.08
강원,382298,365159,56184,16723,2023.08
충북,419678,376035,69383,18739,2023.08
충남,550742,512798,88879,21656,2023.08
전북,408418,423907,91998,17623,2023.08
전남,495158,540639,106868,21708,2023.08
경북,667379,644726,125129,24645,2023.08
경남,926978,725908,136915,31767,2023.08
제주,323437,236087,50686,37342,2023.08
