지역,휘발유,경유,LPG,전기,년월
서울,1660595,1031240,227680,65614,2023.06
부산,738711,528067,104645,28466,2023.06
대구,595097,437250,102226,27263,2023.06
인천,836798,590221,103103,32065,2023.06
광주,318547,259715,88137,10609,2023.06
대전,349649,242835,65973,15904,2023.06
울산,305621,209713,34771,6492,2023.06
세종,98345,65768,13076,3674,2023.06
경기,3159030,2417360,394815,93995,2023.06
강원,380988,366354,56688,16143,2023.06
충북,418602,376797,69709,17903,2023.06
충남,548533,513784,89298,20677,2023.06
전북,407699,425244,92454,16668,2023.06
전남,497301,544483,108628,20874,2023.06
경북,671448,654235,126805,23520,2023.06
경남,923487,729459,137736,28799,2023.06
제주,321883,238727,51874,36262,2023.06
