지역,휘발유,경유,LPG,전기,년월
서울,1660866,1027691,226684,66528,2023.07
부산,739791,526785,104093,29037,2023.07
대구,600656,444804,102884,27911,2023.07
인천,841570,590560,103261,33248,2023.07
광주,318783,259218,88042,10853,2023.07
대전,350630,242779,65970,16138,2023.07
울산,305846,209136,34641,6813,2023.07
세종,98313,65652,13077,3778,2023.07
경기,3163691,2414132,393666,97738,2023.07
강원,381767,365915,56436,16459,2023.07
충북,419229,376453,69579,18100,2023.07
충남,549719,513252,89109,21437,2023.07
전북,408222,424743,92264,17302,2023.07
전남,494715,541956,107377,21368,2023.07
경북,667008,645350,125442,24347,2023.07
경남,926101,727844,137331,30888,2023.07
제주,322783,237494,51305,36903,2023.07
