지역,휘발유,경유,LPG,전기,년월
서울,1660056,1012182,223115,71591,2023.11
부산,743028,519991,101969,33770,2023.11
대구,601921,440888,101464,30272,2023.11
인천,842845,580536,99823,38551,2023.11
광주,320097,257246,87269,12235,2023.11
대전,354042,239794,64949,17418,2023.11
울산,306807,206064,34229,7688,2023.11
세종,98300,64862,12984,4235,2023.11
경기,3184224,2394040,390254,111466,2023.11
강원,384131,362937,55632,17927,2023.11
충북,421732,373366,69075,19713,2023.11
충남,554291,511292,88707,23558,2023.11
전북,409521,421334,91711,19390,2023.11
전남,498061,539777,105527,23746,2023.11
경북,669060,642083,124527,26234,2023.11
경남,933363,721220,135933,35124,2023.11
제주,325871,232739,48739,38894,2023.11
