지역,휘발유,경유,LPG,전기,년월
서울,1660015,1034500,228638,63807,2023.05
부산,737087,530485,105230,27147,2023.05
대구,593875,438126,102525,26691,2023.05
인천,833328,590248,103320,30905,2023.05
광주,318127,260409,88312,10303,2023.05
대전,348525,243114,66020,15564,2023.05
울산,305051,210311,34885,6207,2023.05
세종,98253,65815,13104,3562,2023.05
경기,3150475,2421138,395759,90624,2023.05
강원,380127,366924,56789,15728,2023.05
충북,417831,377767,69842,17511,2023.05
충남,547086,514485,89370,20225,2023.05
전북,407124,426210,92529,16256,2023.05
전남,498276,547561,109554,19966,2023.05
경북,670687,655010,127077,23023,2023.05
경남,919220,730315,138011,27593,2023.05
제주,321142,241629,52594,35619,2023.05
