지역,휘발유,경유,LPG,전기,년월
서울,1658706,1008457,222468,72937,2023.12
부산,743447,518012,101613,34643,2023.12
대구,602042,440309,101381,30396,2023.12
인천,842812,578954,99368,40397,2023.12
광주,320094,256767,87235,12538,2023.12
대전,354514,239645,64898,17889,2023.12
울산,306856,205235,34170,7838,2023.12
세종,98330,64707,12964,4393,2023.12
경기,3186839,2390538,390012,114117,2023.12
강원,384603,362156,55472,18236,2023.12
충북,421862,372795,69020,19972,2023.12
충남,555127,510559,88770,24130,2023.12
전북,409707,420660,91605,19795,2023.12
전남,499306,539658,105325,24200,2023.12
경북,669477,640922,124331,26776,2023.12
경남,934072,719186,135701,36225,2023.12
제주,326392,231604,48202,39418,2023.12
