지역,휘발유,경유,LPG,전기,년월
서울,1660118,1038674,230144,62385,2023.04
부산,735723,532659,105784,26191,2023.04
대구,593547,439576,102982,26092,2023.04
인천,832900,593723,103857,29464,2023.04
광주,317959,261651,88576,10028,2023.04
대전,347998,243676,66202,15301,2023.04
울산,304518,210950,35057,6050,2023.04
세종,98260,65960,13138,3444,2023.04
경기,3143798,2427004,396446,87779,2023.04
강원,379269,368031,56935,15218,2023.04
충북,416630,378850,69981,16996,2023.04
충남,545938,515808,89500,19487,2023.04
전북,406679,428303,92674,15852,2023.04
전남,497412,547983,110076,19169,2023.04
경북,669730,656793,127265,22349,2023.04
경남,915324,732192,138336,26661,2023.04
제주,320385,242675,53232,35020,2023.04
