지역,휘발유,경유,LPG,전기,년월
서울,1661195,1020461,224895,68892,2023.09
부산,741695,523578,102948,31096,2023.09
대구,601645,442902,102156,28988,2023.09
인천,844231,585041,101912,35554,2023.09
광주,319592,258097,87682,11318,2023.09
대전,352248,240670,65318,16559,2023.09
울산,306411,207724,34436,7120,2023.09
세종,98313,65213,12989,4073,2023.09
경기,3171995,2403832,391279,103704,2023.09
강원,383123,364504,56039,17014,2023.09
충북,420595,375516,69272,19095,2023.09
충남,552019,512316,88858,22065,2023.09
전북,408899,423220,91911,18187,2023.09
전남,496071,540295,106495,22317,2023.09
경북,668089,644101,124980,25051,2023.09
경남,928413,723909,136581,32763,2023.09
제주,324985,234991,50150,37689,2023.09
