지역,휘발유,경유,LPG,전기,년월
서울,1656044,1050311,232407,59584,2023.02
부산,731457,537128,107065,23481,2023.02
대구,592120,442644,103725,25019,2023.02
인천,828023,600700,104698,26479,2023.02
광주,316429,263364,88743,9542,2023.02
대전,346646,245765,66431,14600,2023.02
울산,302600,213125,35249,5682,2023.02
세종,97851,66090,13238,3153,2023.02
경기,3121678,2439851,398274,79880,2023.02
강원,376612,369933,57281,14427,2023.02
충북,414055,379632,70347,15727,2023.02
충남,542196,517144,89693,16990,2023.02
전북,405172,429900,93169,13022,2023.02
전남,498031,549864,111831,16505,2023.02
경북,666333,659475,127576,19808,2023.02
경남,913275,736864,139051,23739,2023.02
제주,318002,245046,54370,33573,2023.02
