지역,휘발유,경유,LPG,전기
서울,1658896,1042986,231256,61123
부산,733677,534961,106459,24676
대구,592544,441316,103263,25535
인천,830310,596629,104232,27840
광주,317385,263281,88592,9761
대전,347334,244528,66301,14972
울산,303554,211988,35169,5864
세종,98023,66177,13155,3343
경기,3132538,2433134,397233,84533
강원,378173,369611,57118,14823
충북,415403,379426,70123,16765
충남,544092,517073,89569,18832
전북,405857,429582,92863,15070
전남,497674,549901,110867,18041
경북,668157,658951,127339,21278
경남,913746,735347,138623,25495
제주,319270,243925,53698,34432
