지역,휘발유,경유,LPG,전기,년월
서울,1660783,1016553,223937,70194,2023.10
부산,742358,521942,102436,32418,2023.10
대구,601339,441760,101717,29586,2023.10
인천,844023,582857,101166,36901,2023.10
광주,319870,257427,87417,11757,2023.10
대전,352934,240054,65118,16841,2023.10
울산,306621,206894,34319,7331,2023.10
세종,98303,65048,12995,4186,2023.10
경기,3176944,2396918,390282,107342,2023.10
강원,383574,363762,55829,17363,2023.10
충북,420952,374156,69163,19416,2023.10
충남,552927,511577,88743,23156,2023.10
전북,408882,422394,91768,18658,2023.10
전남,496703,540106,105969,22992,2023.10
경북,668270,642906,124760,25664,2023.10
경남,930532,722367,136239,34005,2023.10
제주,325682,234042,49543,38098,2023.10
