지역,휘발유,경유,LPG,전기,년월
서울,1656165,1054514,233343,59624,2023.01
부산,729476,538997,107656,22114,2023.01
대구,591659,443520,104230,24100,2023.01
인천,826529,601690,105277,26342,2023.01
광주,316367,263582,88864,9118,2023.01
대전,346087,245930,66672,14450,2023.01
울산,301974,213667,35382,5071,2023.01
세종,97458,66010,13264,3081,2023.01
경기,3115237,2443725,399508,77673,2023.01
강원,375515,369591,57566,14065,2023.01
충북,412868,379274,70406,15156,2023.01
충남,540137,516491,89784,16617,2023.01
전북,404473,429472,93314,12740,2023.01
전남,496922,550624,112554,15449,2023.01
경북,664725,658366,127791,19150,2023.01
경남,911548,736958,139386,22749,2023.01
제주,316670,245297,54870,32904,2023.01
