지역,휘발유,경유,LPG,전기,년월
서울,1646122,1088003,245825,38840,2021.11
부산,704346,554709,113503,11766,2021.11
대구,581707,451527,107907,16083,2021.11
인천,807266,634789,117273,11775,2021.11
광주,309906,266986,88968,4978,2021.11
대전,339003,248820,67761,7737,2021.11
울산,294408,220334,36480,3149,2021.11
세종,92151,65369,12890,1717,2021.11
경기,3017624,2444919,406674,38563,2021.11
강원,360348,370839,58959,7231,2021.11
충북,399367,380495,70473,7731,2021.11
충남,518283,516144,88836,9836,2021.11
전북,395293,431709,93796,7147,2021.11
전남,453952,546568,111943,8042,2021.11
경북,649047,663071,127787,10870,2021.11
경남,873336,740560,139662,12122,2021.11
제주,290126,252660,59942,25381,2021.11
