지역,휘발유,경유,LPG,전기,년월
서울,1645085,1095411,248869,31220,2021.08
부산,701117,557765,114599,9525,2021.08
대구,580501,457314,109022,14632,2021.08
인천,809312,643669,120435,9370,2021.08
광주,308536,267325,88680,4478,2021.08
대전,338262,249821,67957,6652,2021.08
울산,293180,221299,36630,3038,2021.08
세종,90664,65399,12815,1509,2021.08
경기,2994349,2445980,407279,33832,2021.08
강원,357202,371463,59184,5929,2021.08
충북,396969,382310,70436,6414,2021.08
충남,514518,517333,88369,8426,2021.08
전북,394042,433056,93684,5826,2021.08
전남,444585,544640,110488,7211,2021.08
경북,645375,665125,127478,9683,2021.08
경남,868108,743763,139668,9730,2021.08
제주,284808,252770,60402,23590,2021.08
