지역,휘발유,경유,LPG,전기,년월
서울,1645282,1090545,246873,35067,2021.10
부산,702137,555377,113990,10939,2021.10
대구,581478,452397,108353,15753,2021.10
인천,805530,636676,117774,11295,2021.10
광주,309297,267133,88911,4806,2021.10
대전,338422,249056,67749,7700,2021.10
울산,293768,220420,36527,3184,2021.10
세종,91646,65420,12859,1680,2021.10
경기,3008631,2444939,406841,37084,2021.10
강원,359173,371158,59001,6786,2021.10
충북,398241,381342,70459,7362,2021.10
충남,516785,516406,88627,9480,2021.10
전북,394446,431934,93724,6733,2021.10
전남,451703,547073,111877,7826,2021.10
경북,647361,663670,127677,10373,2021.10
경남,871244,741452,139634,11199,2021.10
제주,288093,252590,60201,24410,2021.10
