지역,휘발유,경유,LPG,전기,년월
서울,1636281,1107835,257262,23441,2021.01
부산,687671,563485,117090,5409,2021.01
대구,583066,471418,111501,12557,2021.01
인천,801524,665320,129072,5428,2021.01
광주,304871,273300,88215,3210,2021.01
대전,335392,256178,68540,4463,2021.01
울산,289212,226441,37244,2269,2021.01
세종,87817,65523,12586,1157,2021.01
경기,2925814,2445420,409745,20670,2021.01
강원,348523,375402,59735,4076,2021.01
충북,384909,382807,69868,3897,2021.01
충남,502617,524176,87237,5562,2021.01
전북,388528,438416,93881,3360,2021.01
전남,422999,539946,107075,5251,2021.01
경북,633073,673676,126801,7066,2021.01
경남,848756,749949,139127,6369,2021.01
제주,266489,250793,60386,21206,2021.01
