지역,휘발유,경유,LPG,전기
서울,1639303,1098086,252577,27013
부산,694993,560143,115719,7515
대구,583149,463600,109936,13472
인천,806083,651257,124495,6708
광주,306514,269440,88404,3813
대전,336777,251824,68015,5222
울산,291696,223320,36790,2734
세종,89560,65568,12691,1353
경기,2965667,2439786,408016,26944
강원,353833,372121,59551,4750
충북,392313,379962,70372,4952
충남,510077,519149,87998,6588
전북,391849,434200,93692,4432
전남,437045,543779,109670,6222
경북,641278,668326,127032,8118
경남,860986,744904,139717,7867
제주,277285,250973,60656,22148
