지역,휘발유,경유,LPG,전기,년월
서울,1646141,1084741,245041,40564,2021.12
부산,706646,554251,113022,12375,2021.12
대구,582172,450862,107675,16185,2021.12
인천,808405,633162,116636,12820,2021.12
광주,310349,266902,89043,5194,2021.12
대전,339336,248807,67680,7701,2021.12
울산,294967,220030,36405,3166,2021.12
세종,92830,65600,12929,1859,2021.12
경기,3026831,2445782,406537,39958,2021.12
강원,361201,370641,58721,7946,2021.12
충북,400178,380157,70403,8194,2021.12
충남,519627,516048,88859,9991,2021.12
전북,395547,431314,93588,7365,2021.12
전남,457458,548344,112207,8708,2021.12
경북,650070,662771,127689,11240,2021.12
경남,875460,739705,139672,12606,2021.12
제주,292347,252834,59567,25571,2021.12
