지역,휘발유,경유,LPG,전기
서울,1636698,1103183,255058,24918
부산,690422,562084,116376,6600
대구,583939,471070,110544,13041
인천,803729,658880,127379,6106
광주,305186,273410,88010,3504
대전,335202,255924,68154,4885
울산,290159,226234,36920,2527
세종,88784,65983,12645,1295
경기,2945760,2439830,409062,23887
강원,350892,376497,59645,4280
충북,387364,383320,70024,4688
충남,505749,525786,87539,5946
전북,390032,440084,93553,3596
전남,429008,543767,107664,5773
경북,636546,676687,126868,7588
경남,854987,750220,139472,7220
제주,271139,252296,60333,21832
