지역,휘발유,경유,LPG,전기,년월
서울,1646093,1093923,247928,33434,2021.09
부산,700923,556137,114340,10480,2021.09
대구,580980,454810,108813,15122,2021.09
인천,805648,639623,118465,10543,2021.09
광주,308869,267476,88871,4722,2021.09
대전,338427,249683,67879,7134,2021.09
울산,293315,220841,36564,3167,2021.09
세종,91053,65272,12820,1627,2021.09
경기,3001057,2447166,407055,35385,2021.09
강원,358145,371330,59116,6266,2021.09
충북,397495,382288,70417,6801,2021.09
충남,515460,517082,88511,8847,2021.09
전북,394139,432472,93625,6286,2021.09
전남,449830,546624,111868,7574,2021.09
경북,646109,664606,127568,10013,2021.09
경남,869501,742646,139696,10274,2021.09
제주,286476,252935,60292,23845,2021.09
