지역,휘발유,경유,LPG,전기
서울,1653520,985226,221543,76551
부산,746539,505268,101982,38422
대구,601634,432178,101581,31586
인천,844660,565539,100288,45136
광주,321655,252671,87445,13216
대전,358135,235144,65364,18763
울산,308370,201406,34604,8423
세종,99012,63649,13116,4700
경기,3208995,2346667,397614,127098
강원,387641,357277,55900,19003
충북,424889,367031,70059,21710
충남,562484,505340,90698,26851
전북,412096,414950,92592,21444
전남,505648,531640,104466,27061
경북,674593,633717,125804,29260
경남,939386,706621,136583,40854
제주,328614,223808,46299,41519
