지역,휘발유,경유,LPG,전기,년월
서울,1654648,989532,221643,75282,2024.04
부산,745948,507929,101869,36963,2024.04
대구,601579,434353,101411,31242,2024.04
인천,844255,567444,99693,43698,2024.04
광주,321179,253976,87376,12997,2024.04
대전,357367,235988,65253,18549,2024.04
울산,308114,202224,34514,8255,2024.04
세종,98867,63955,13102,4620,2024.04
경기,3204156,2357013,395958,123610,2024.04
강원,387026,358625,55781,18742,2024.04
충북,424454,369242,69768,21259,2024.04
충남,561163,506815,90420,26366,2024.04
전북,411669,416507,92323,21011,2024.04
전남,504340,533412,104436,26478,2024.04
경북,673679,635917,125487,28771,2024.04
경남,938352,710095,136388,39822,2024.04
제주,328478,225838,46662,41056,2024.04
