지역,휘발유,경유,LPG,전기
서울,1657137,1001314,222096,72981
부산,744357,513976,101733,35022
대구,602214,438484,101513,30414
인천,843363,575515,99319,41189
광주,320682,255891,87288,12571
대전,355894,238874,65125,18003
울산,307626,204191,34347,7888
세종,98734,64341,13051,4475
경기,3195202,2379402,392705,115414
강원,385909,361357,55617,18240
충북,423278,371530,69342,20009
충남,558249,510261,89622,24055
전북,410953,420174,91883,19804
전남,501351,538037,104607,24336
경북,671566,640364,124781,26985
경남,936235,717299,135992,36534
제주,326240,229318,47406,39535
