date,강원,경기,경남,경북,광주,대구,대전,부산,서울,세종,울산,인천,전남,전북,제주,충남,충북,합계 : 계
2020-01,"1,192,160","9,499,182","2,740,720","2,149,492","1,123,984","1,992,608","1,129,678","2,309,090","5,347,826","286,632","954,626","2,771,952","1,542,132","1,414,442","997,718","1,702,476","1,293,806","38,448,524"
2020-02,"1,193,736","9,505,196","2,746,840","2,151,544","1,124,898","1,993,228","1,130,434","2,312,770","5,343,044","288,504","954,650","2,769,178","1,543,164","1,415,366","1,001,918","1,705,070","1,296,120","38,475,660"
2020-03,"1,196,252","9,549,134","2,753,488","2,152,056","1,128,876","1,996,916","1,134,350","2,315,334","5,346,384","290,332","956,740","2,777,924","1,546,558","1,418,426","1,012,096","1,709,354","1,305,144","38,589,364"
2020-04,"1,199,852","9,603,068","2,763,052","2,155,962","1,132,884","2,003,508","1,137,334","2,323,122","5,354,486","291,328","958,486","2,812,832","1,549,286","1,421,186","991,586","1,712,670","1,309,010","38,719,652"
2020-05,"1,205,078","9,649,436","2,772,294","2,161,184","1,136,058","2,006,716","1,140,340","2,331,286","5,365,820","292,104","960,278","2,819,574","1,555,892","1,425,684","1,001,442","1,718,806","1,314,162","38,856,154"
2020-06,"1,212,006","9,705,750","2,786,624","2,168,718","1,140,974","2,014,162","1,143,398","2,341,310","5,383,748","292,974","964,358","2,831,436","1,565,438","1,431,484","1,010,974","1,728,492","1,321,906","39,043,752"
2020-07,"1,217,896","9,741,942","2,794,534","2,174,190","1,143,904","2,022,568","1,146,680","2,349,604","5,396,280","294,638","968,306","2,838,916","1,573,992","1,434,786","1,022,286","1,735,558","1,326,912","39,182,992"
2020-08,"1,220,888","9,767,892","2,797,648","2,176,664","1,143,254","2,036,298","1,146,066","2,353,394","5,399,602","296,420","968,288","2,833,670","1,579,186","1,436,284","1,028,656","1,738,118","1,329,298","39,251,626"
2020-09,"1,224,628","9,817,414","2,806,552","2,181,444","1,147,480","2,045,842","1,149,596","2,360,318","5,406,858","297,826","969,372","2,835,054","1,589,460","1,439,948","1,037,370","1,744,148","1,334,284","39,387,594"
2020-10,"1,227,744","9,854,886","2,814,922","2,186,436","1,148,868","2,046,648","1,150,330","2,366,472","5,411,684","300,928","970,174","2,841,266","1,594,118","1,442,492","1,044,348","1,748,160","1,338,240","39,487,716"
2020-11,"1,232,092","9,895,606","2,824,650","2,192,648","1,151,868","2,050,662","1,152,230","2,373,348","5,420,854","304,066","972,178","2,850,034","1,600,754","1,446,650","1,051,756","1,753,842","1,342,612","39,615,850"
2020-12,"1,234,754","9,933,378","2,865,978","2,197,692","1,152,732","2,054,150","1,153,812","2,378,690","5,423,968","306,660","973,918","2,852,406","1,614,078","1,448,648","1,026,986","1,758,240","1,345,820","39,721,910"
2021-01,"1,238,180","9,977,802","2,876,426","2,204,596","1,155,214","2,057,248","1,157,024","2,386,832","5,428,966","309,316","976,768","2,855,638","1,627,282","1,451,238","1,032,124","1,763,420","1,349,760","39,847,834"
