date,강원,경기,경남,경북,광주,대구,대전,부산,서울,세종,울산,인천,전남,전북,제주,충남,충북,합계 : 영업용
2020-01,"16,904","227,348","49,520","47,574","25,836","38,212","22,884","67,270","115,638","3,190","18,586","60,976","40,058","30,442","7,292","34,804","28,114","834,648"
2020-02,"16,868","227,762","49,482","47,558","25,836","38,246","22,902","67,234","115,546","3,188","18,602","61,040","40,108","30,464","7,302","34,826","28,116","835,080"
2020-03,"16,826","227,908","49,332","47,544","25,910","38,188","22,916","67,228","115,524","3,200","18,656","61,200","40,138","30,428","7,278","34,880","28,050","835,206"
2020-04,"16,826","227,826","49,320","47,538","25,950","37,996","22,892","67,222","115,624","3,208","18,620","61,184","40,154","30,430","7,306","35,004","28,072","835,172"
2020-05,"16,840","228,300","49,426","47,564","26,050","38,112","22,938","67,070","115,604","3,206","18,618","61,170","40,160","30,434","7,292","35,048","28,096","835,928"
2020-06,"16,860","229,404","49,416","47,750","26,030","38,228","22,980","67,328","115,944","3,206","18,702","61,148","40,332","30,500","7,324","35,158","28,176","838,486"
2020-07,"16,912","230,224","49,524","47,762","26,158","38,284","22,986","67,384","115,882","3,208","18,688","61,462","40,358","30,580","7,304","35,320","28,176","840,212"
2020-08,"16,886","230,730","49,552","47,910","26,322","38,244","22,986","67,260","115,652","3,204","18,700","61,498","40,320","30,596","7,322","35,404","28,350","840,936"
2020-09,"16,958","231,364","49,718","47,992","26,518","38,270","23,082","67,290","115,686","3,228","18,738","61,740","40,370","30,596","7,346","35,430","28,470","842,796"
2020-10,"17,006","232,434","49,774","48,086","26,772","38,210","23,132","67,388","115,916","3,246","18,786","62,032","40,456","30,604","7,402","35,604","28,674","845,522"
2020-11,"17,076","233,532","49,978","48,256","26,818","38,220","23,194","67,510","116,036","3,242","18,810","62,372","40,532","30,634","7,404","35,690","28,826","848,130"
2020-12,"17,206","234,578","50,144","48,366","26,888","38,272","23,216","67,534","116,110","3,244","18,856","62,708","40,516","30,756","7,392","35,818","28,900","850,504"
2021-01,"17,210","235,536","50,248","48,406","27,018","38,418","23,234","67,598","116,390","3,250","18,880","62,836","40,550","30,752","7,398","35,854","28,986","852,564"
2021-02,"17,184","235,764","50,256","48,454","27,002","38,440","23,272","67,664","116,324","3,256","18,866","62,978","40,646","30,766","7,408","35,860","29,008","853,148"
2021-03,"17,172","236,684","50,270","48,568","27,022","38,572","23,330","67,834","116,354","3,270","18,874","63,246","40,620","30,788","7,400","35,960","29,068","855,032"
2021-04,"17,188","237,346","50,292","48,564","27,092","38,618","23,316","67,812","116,328","3,284","18,926","63,538","40,626","30,824","7,378","36,074","29,070","856,276"
2021-05,"17,302","238,232","50,428","48,612","27,168","38,668","23,388","67,970","116,766","3,304","18,972","63,794","40,736","30,900","7,378","36,090","29,272","858,980"
2021-06,"17,346","239,136","50,554","48,660","27,212","38,726","23,484","68,026","117,074","3,306","19,016","64,190","40,758","31,058","7,416","36,252","29,330","861,544"
2021-07,"17,386","240,316","50,664","48,904","27,304","38,784","23,620","68,166","117,174","3,314","19,056","64,434","40,788","31,206","7,488","36,456","29,382","864,442"
2021-08,"17,432","241,298","50,788","48,910","27,302","38,790","23,608","68,252","117,412","3,322","19,086","64,636","40,880","31,274","7,500","36,692","29,530","866,712"
2021-09,"17,452","242,166","50,918","48,964","27,316","38,896","23,690","68,254","117,598","3,320","19,130","64,848","40,998","31,308","7,516","36,820","29,624","868,818"
2021-10,"17,484","243,172","51,082","49,060","27,398","38,908","23,690","68,470","117,416","3,352","19,154","65,014","41,072","31,332","7,528","36,928","29,800","870,860"
2021-11,"17,572","244,470","51,256","49,062","27,548","39,028","23,766","68,664","117,662","3,366","19,196","65,432","41,102","31,398","7,526","37,060","29,906","874,014"
2021-12,"17,680","245,278","51,448","49,154","27,514","39,170","23,840","68,872","117,952","3,366","19,220","65,580","41,334","31,478","7,572","37,138","30,066","876,662"
2022-01,"17,696","246,008","51,626","49,180","27,624","39,316","23,912","69,120","118,176","3,392","19,278","65,698","41,380","31,450","7,608","37,222","30,100","878,786"
2022-02,"17,726","246,652","51,872","49,230","27,756","39,532","23,910","69,420","118,190","3,424","19,290","65,816","41,518","31,410","7,596","37,292","30,220","880,854"
2022-03,"17,750","248,816","52,192","49,396","27,948","39,766","24,034","69,926","118,522","3,472","19,388","66,286","41,626","31,562","7,734","37,484","30,414","886,316"
2022-04,"17,838","250,842","52,282","49,400","28,106","39,896","24,182","70,096","119,804","3,498","19,476","66,616","41,588","31,720","7,810","37,580","30,574","891,308"
2022-05,"17,828","251,692","52,346","49,256","28,216","39,944","24,248","70,104","120,172","3,512","19,556","66,606","41,534","31,744","7,808","37,720","30,572","892,858"
2022-06,"17,876","252,516","52,354","49,174","28,262","39,870","24,278","70,138","120,154","3,538","19,642","66,736","41,556","31,756","7,820","37,850","30,588","894,108"
2022-07,"17,924","253,228","52,392","49,152","28,414","39,968","24,282","70,216","119,810","3,552","19,656","66,856","41,534","31,898","7,800","37,910","30,580","895,172"
2022-08,"17,952","254,040","52,434","49,128","28,230","39,986","24,292","70,276","119,592","3,578","19,636","67,062","41,594","31,926","7,812","37,950","30,656","896,144"
2022-09,"17,986","254,764","52,540","49,028","28,280","40,000","24,312","70,476","119,472","3,582","19,688","67,184","41,612","31,828","7,830","38,044","30,730","897,356"
2022-10,"17,998","255,432","52,660","48,966","28,306","40,010","24,376","70,708","119,266","3,602","19,714","67,246","41,738","31,878","7,888","38,094","30,828","898,710"
2022-11,"17,978","256,254","52,666","48,980","28,302","40,020","24,366","70,740","119,122","3,622","19,752","67,396","41,808","31,934","7,910","38,064","30,868","899,782"
2022-12,"17,984","257,032","52,744","48,968","28,370","40,080","24,442","70,846","119,142","3,632","19,818","67,326","41,878","31,944","7,932","38,112","30,968","901,218"
2023-01,"18,034","257,824","52,840","48,988","28,404","40,130","24,472","70,876","119,182","3,646","19,862","67,518","41,850","31,978","7,930","38,206","30,964","902,704"
2023-02,"18,062","258,940","52,960","49,146","28,506","40,218","24,578","70,894","119,218","3,670","19,912","67,832","41,996","32,108","8,008","38,240","31,072","905,360"
2023-03,"18,122","262,462","53,506","49,354","28,728","40,968","24,602","71,704","119,732","3,700","20,286","68,374","42,002","32,282","8,182","38,438","31,432","913,874"
2023-04,"18,144","263,658","53,728","49,444","28,832","40,984","24,634","71,574","119,728","3,718","20,310","68,672","42,012","32,294","8,200","38,528","31,614","916,074"
2023-05,"18,194","264,484","53,834","49,560","28,934","41,064","24,674","71,728","119,800","3,754","20,346","68,860","42,020","32,308","8,198","38,658","31,662","918,078"
2023-06,"18,240","265,956","54,070","49,714","29,076","41,206","24,792","71,818","120,254","3,786","20,472","69,232","42,018","32,360","8,228","38,804","31,740","921,766"
2023-07,"18,242","266,778","54,134","49,776","29,034","41,184","24,840","71,902","120,358","3,782","20,470","69,478","42,072","32,444","8,210","38,862","31,816","923,382"
2023-08,"18,256","267,574","54,168","49,756","29,056","41,246","24,902","71,958","120,594","3,820","20,510","69,634","42,104","32,556","8,238","38,862","31,898","925,132"
2023-09,"18,274","268,304","54,342","49,802","29,078","41,234","25,042","72,018","120,528","3,844","20,522","69,864","42,152","32,452","8,234","38,964","31,970","926,624"
2023-10,"18,278","268,558","54,398","49,800","29,120","41,148","24,938","71,980","120,532","3,844","20,482","69,918","42,062","32,380","8,202","38,938","31,906","926,484"
2023-11,"18,314","269,440","54,574","49,858","29,170","41,332","24,946","72,024","120,612","3,872","20,532","70,108","42,028","32,374","8,334","39,002","31,950","928,470"
2023-12,"18,358","270,928","54,810","49,746","29,248","41,586","25,062","72,218","120,864","3,926","20,640","70,320","42,156","32,398","8,378","39,124","32,014","931,776"
2024-01,"18,404","272,230","55,100","49,842","29,356","41,650","24,994","72,358","121,000","3,930","20,652","70,660","42,304","32,484","8,426","39,274","32,102","934,766"
2024-02,"18,406","272,180","55,092","49,818","29,332","41,690","24,938","72,288","120,838","3,954","20,676","70,652","42,326","32,452","8,416","39,204","32,100","934,362"
2024-03,"18,478","272,562","55,110","49,780","29,554","41,668","24,924","72,336","120,542","3,936","20,720","70,656","42,364","32,582","8,434","39,180","32,122","934,948"
2024-04,"18,444","272,332","54,912","49,780","29,582","41,666","24,892","72,298","120,292","3,946","20,692","70,646","42,414","32,648","8,418","39,208","32,118","934,288"
2024-05,"18,442","272,790","54,944","49,806","29,606","41,634","24,926","72,154","120,122","3,952","20,586","70,586","42,360","32,700","8,420","39,244","32,140","934,412"
2024-06,"18,504","272,890","55,020","49,876","29,536","41,568","24,984","72,116","120,152","3,958","20,592","70,696","42,328","32,754","8,418","39,208","32,064","934,664"
