date,강원,경기,경남,경북,광주,대구,대전,부산,서울,세종,울산,인천,전남,전북,제주,충남,충북,합계 : 영업용
2020-01,"23,970","144,364","98,098","28,850","30,682","53,878","28,914","147,520","254,114","1,218","15,908","595,216","206,568","38,534","436,860","26,780","30,040","2,161,514"
2020-02,"23,910","143,530","100,140","28,630","30,570","53,512","28,766","150,330","252,158","1,224","15,894","592,394","206,066","38,186","440,254","26,706","29,746","2,162,016"
2020-03,"23,864","141,802","103,120","28,564","30,220","53,092","28,326","152,192","250,236","1,200","15,856","595,144","205,772","38,130","443,944","26,524","29,436","2,167,422"
2020-04,"23,724","144,316","105,624","28,362","30,070","52,928","28,360","154,998","249,280","1,034","15,848","623,256","204,198","37,828","421,926","26,446","29,504","2,177,702"
2020-05,"23,656","142,938","107,896","28,224","29,836","52,966","28,232","156,588","249,052","1,030","15,812","623,022","205,420","37,264","428,910","26,390","29,572","2,186,808"
2020-06,"23,532","142,180","111,634","28,040","29,750","52,854","27,770","158,000","249,266","1,032","16,338","626,482","208,554","37,228","435,476","26,392","29,442","2,203,970"
2020-07,"23,726","142,074","112,368","27,978","29,746","53,026","27,864","163,028","251,562","1,032","16,370","627,002","212,064","36,902","444,204","26,402","29,826","2,225,174"
2020-08,"23,674","141,738","113,886","27,828","29,614","52,942","27,822","164,194","252,020","1,196","16,358","624,996","215,438","36,782","448,936","26,242","29,986","2,233,652"
2020-09,"23,542","143,464","116,208","27,796","29,550","52,864","27,872","165,772","251,902","1,196","16,336","621,848","221,760","36,808","455,222","26,200","30,184","2,248,524"
2020-10,"23,394","144,086","119,412","27,740","29,358","52,474","28,024","167,168","250,560","1,244","16,380","623,454","222,666","36,552","460,872","26,390","30,358","2,260,132"
2020-11,"23,376","143,738","122,996","27,792","29,336","52,054","28,096","168,288","250,432","1,258","16,298","624,292","224,258","36,258","466,250","26,852","30,446","2,272,020"
