date,강원,경기,경남,경북,광주,대구,대전,부산,서울,세종,울산,인천,전남,전북,제주,충남,충북,합계 : 영업용
2020-01,"3,290","22,104","10,760","9,890","3,620","3,898","3,244","17,666","9,928",320,"4,254","10,364","9,444","4,274","1,286","5,812","5,382","125,536"
2020-02,"3,282","22,192","10,812","9,932","3,646","3,918","3,250","17,666","9,960",320,"4,264","10,380","9,444","4,312","1,282","5,838","5,394","125,892"
2020-03,"3,312","22,202","10,828","9,964","3,634","3,950","3,260","17,674","9,968",328,"4,296","10,404","9,506","4,326","1,290","5,830","5,424","126,196"
2020-04,"3,316","22,300","10,842","9,988","3,630","3,942","3,270","17,698","9,946",324,"4,296","10,424","9,526","4,342","1,282","5,856","5,440","126,422"
2020-05,"3,328","22,364","10,916","9,996","3,600","3,972","3,284","17,676","9,922",328,"4,326","10,450","9,548","4,348","1,274","5,860","5,434","126,626"
2020-06,"3,372","22,364","10,902","9,996","3,588","3,968","3,276","17,712","9,934",326,"4,342","10,432","9,604","4,362","1,288","5,894","5,450","126,810"
2020-07,"3,398","22,344","10,904","9,992","3,596","3,992","3,284","17,716","9,950",326,"4,342","10,470","9,618","4,380","1,288","5,900","5,462","126,962"
2020-08,"3,398","22,388","10,914","10,012","3,618","4,020","3,280","17,744","9,944",330,"4,326","10,494","9,630","4,404","1,286","5,906","5,476","127,170"
2020-09,"3,404","22,426","10,916","10,036","3,636","4,030","3,296","17,762","9,918",328,"4,324","10,510","9,644","4,416","1,300","5,936","5,486","127,368"
2020-10,"3,430","22,464","10,932","10,044","3,620","4,052","3,290","17,766","9,884",338,"4,334","10,516","9,656","4,430","1,302","5,944","5,500","127,502"
2020-11,"3,432","22,494","10,956","10,058","3,648","4,066","3,286","17,782","9,896",334,"4,348","10,600","9,704","4,396","1,290","5,962","5,486","127,738"
2020-12,"3,446","22,564","10,956","10,076","3,652","4,066","3,292","17,780","9,862",330,"4,342","10,592","9,748","4,410","1,290","5,956","5,474","127,836"
2021-01,"3,476","22,678","11,016","10,124","3,628","4,084","3,286","17,794","9,862",334,"4,344","10,658","9,792","4,408","1,286","6,010","5,500","128,280"
2021-02,"3,488","22,714","11,008","10,128","3,652","4,122","3,298","17,846","9,916",338,"4,348","10,642","9,824","4,428","1,290","6,028","5,534","128,604"
2021-03,"3,520","22,778","11,056","10,140","3,624","4,188","3,316","17,824","9,970",336,"4,364","10,660","9,844","4,448","1,292","6,020","5,542","128,922"
2021-04,"3,526","22,866","11,040","10,186","3,658","4,218","3,312","17,846","9,980",340,"4,354","10,694","9,852","4,492","1,278","6,036","5,554","129,232"
2021-05,"3,546","22,906","11,018","10,160","3,672","4,260","3,320","17,820","9,994",336,"4,364","10,700","9,858","4,492","1,280","6,068","5,534","129,328"
2021-06,"3,556","22,974","11,042","10,182","3,672","4,268","3,316","17,808","10,062",338,"4,362","10,706","9,862","4,516","1,296","6,090","5,564","129,614"
2021-07,"3,556","23,098","11,070","10,204","3,692","4,262","3,304","17,782","10,110",340,"4,338","10,740","9,884","4,532","1,294","6,132","5,570","129,908"
2021-08,"3,552","23,182","11,102","10,206","3,684","4,262","3,328","17,836","10,122",338,"4,354","10,760","9,910","4,562","1,288","6,182","5,574","130,242"
2021-09,"3,580","23,274","11,132","10,212","3,668","4,276","3,342","17,848","10,176",334,"4,368","10,752","9,952","4,574","1,290","6,162","5,574","130,514"
2021-10,"3,608","23,286","11,158","10,242","3,688","4,284","3,356","17,896","10,198",338,"4,386","10,808","9,974","4,602","1,298","6,178","5,576","130,876"
2021-11,"3,610","23,362","11,188","10,310","3,706","4,236","3,352","17,864","10,208",338,"4,424","10,834","9,996","4,618","1,294","6,210","5,574","131,124"
2021-12,"3,634","23,438","11,160","10,282","3,700","4,246","3,364","17,864","10,174",342,"4,442","10,854","10,026","4,638","1,296","6,242","5,570","131,272"
2022-01,"3,638","23,470","11,274","10,344","3,700","4,274","3,380","17,916","10,226",340,"4,446","10,852","10,058","4,668","1,304","6,244","5,588","131,722"
2022-02,"3,672","23,548","11,314","10,350","3,752","4,298","3,388","17,924","10,240",332,"4,448","10,852","10,090","4,670","1,308","6,230","5,588","132,004"
2022-03,"3,686","23,594","11,312","10,408","3,762","4,264","3,396","17,926","10,292",334,"4,460","10,846","10,098","4,708","1,308","6,240","5,592","132,226"
2022-04,"3,698","23,690","11,322","10,428","3,754","4,272","3,406","17,954","10,450",330,"4,454","10,834","10,098","4,720","1,312","6,232","5,600","132,554"
2022-05,"3,710","23,698","11,342","10,376","3,756","4,282","3,418","17,898","10,504",338,"4,472","10,808","10,106","4,748","1,314","6,290","5,598","132,658"
2022-06,"3,706","23,744","11,366","10,376","3,782","4,290","3,418","17,906","10,510",332,"4,466","10,812","10,070","4,782","1,300","6,296","5,618","132,774"
2022-07,"3,714","23,780","11,366","10,378","3,782","4,274","3,442","17,934","10,602",330,"4,486","10,820","10,142","4,812","1,304","6,324","5,582","133,072"
2022-08,"3,738","23,816","11,368","10,394","3,786","4,290","3,424","17,964","10,596",322,"4,490","10,816","10,146","4,872","1,300","6,328","5,592","133,242"
2022-09,"3,732","23,874","11,396","10,398","3,796","4,286","3,434","18,006","10,594",318,"4,482","10,782","10,162","4,878","1,306","6,346","5,626","133,416"
2022-10,"3,732","23,974","11,388","10,384","3,790","4,272","3,456","18,016","10,592",320,"4,474","10,780","10,164","4,906","1,300","6,374","5,618","133,540"
2022-11,"3,742","24,040","11,380","10,412","3,794","4,234","3,462","18,022","10,572",322,"4,482","10,788","10,158","4,926","1,310","6,396","5,632","133,672"
2022-12,"3,748","24,016","11,394","10,422","3,822","4,240","3,460","18,058","10,640",322,"4,474","10,784","10,192","4,962","1,324","6,426","5,670","133,954"
2023-01,"3,786","24,068","11,432","10,436","3,796","4,250","3,456","18,036","10,634",328,"4,472","10,818","10,216","4,956","1,318","6,450","5,660","134,112"
2023-02,"3,784","24,098","11,460","10,472","3,820","4,262","3,452","18,012","10,596",334,"4,472","10,804","10,218","4,988","1,312","6,458","5,680","134,222"
2023-03,"3,794","24,122","11,472","10,534","3,850","4,246","3,460","18,012","10,604",332,"4,464","10,802","10,218","5,022","1,302","6,460","5,706","134,400"
2023-04,"3,806","24,192","11,428","10,548","3,844","4,242","3,468","18,024","10,574",328,"4,482","10,812","10,256","5,022","1,308","6,468","5,730","134,532"
2023-05,"3,808","24,242","11,424","10,562","3,816","4,250","3,476","18,030","10,604",326,"4,484","10,818","10,262","5,016","1,316","6,480","5,730","134,644"
2023-06,"3,814","24,242","11,452","10,602","3,820","4,280","3,468","18,064","10,638",330,"4,480","10,830","10,266","5,034","1,324","6,484","5,758","134,886"
2023-07,"3,830","24,290","11,456","10,616","3,832","4,282","3,464","18,088","10,556",324,"4,482","10,858","10,258","5,028","1,336","6,494","5,760","134,954"
2023-08,"3,830","24,344","11,478","10,624","3,800","4,292","3,456","18,072","10,454",330,"4,460","10,836","10,278","5,034","1,346","6,490","5,774","134,898"
2023-09,"3,826","24,366","11,516","10,634","3,802","4,304","3,446","18,070","10,462",328,"4,474","10,830","10,282","5,032","1,356","6,488","5,768","134,984"
2023-10,"3,854","24,386","11,488","10,638","3,806","4,332","3,450","18,078","10,464",334,"4,474","10,836","10,258","5,034","1,364","6,502","5,762","135,060"
2023-11,"3,858","24,440","11,472","10,686","3,846","4,328","3,458","18,052","10,416",340,"4,484","10,836","10,248","5,054","1,368","6,524","5,770","135,180"
2023-12,"3,960","24,480","11,436","10,652","3,828","4,350","3,490","18,050","10,468",336,"4,484","10,826","10,254","5,068","1,370","6,502","5,782","135,336"
2024-01,"4,032","24,530","11,458","10,692","3,834","4,382","3,458","18,054","10,488",336,"4,498","10,852","10,278","5,080","1,378","6,528","5,776","135,654"
2024-02,"4,082","24,560","11,462","10,746","3,852","4,388","3,454","18,076","10,434",340,"4,502","10,824","10,290","5,092","1,376","6,528","5,764","135,770"
2024-03,"4,048","24,626","11,470","10,740","3,844","4,394","3,462","18,054","10,480",332,"4,514","10,814","10,312","5,094","1,444","6,534","5,778","135,940"
2024-04,"4,060","24,686","11,446","10,754","3,850","4,416","3,470","18,060","10,464",330,"4,516","10,800","10,300","5,096","1,450","6,550","5,750","135,998"
2024-05,"4,080","24,670","11,436","10,762","3,864","4,410","3,470","18,050","10,452",342,"4,516","10,806","10,302","5,130","1,456","6,534","5,774","136,054"
2024-06,"4,080","24,728","11,428","10,738","3,880","4,434","3,462","18,086","10,480",346,"4,518","10,810","10,310","5,132","1,474","6,554","5,792","136,252"
