date,강원,경기,경남,경북,광주,대구,대전,부산,서울,세종,울산,인천,전남,전북,제주,충남,충북,합계 : 자가용
2022-05,"302,284","1,411,264","530,698","588,666","155,470","269,570","146,136","299,292","522,912","29,784","121,916","323,018","450,532","343,304","160,794","412,114","289,264","6,357,018"
2022-06,"302,658","1,412,574","531,068","589,470","155,268","269,414","146,090","299,142","522,938","29,780","122,040","323,048","450,548","343,542","160,464","412,378","289,836","6,360,258"
2022-07,"303,606","1,417,960","531,706","591,112","155,786","269,750","146,526","299,512","522,434","29,920","122,606","324,358","451,972","344,488","161,084","413,460","290,722","6,377,002"
2022-08,"304,202","1,420,072","532,694","592,402","156,066","269,628","146,732","299,774","521,566","29,964","122,876","325,442","452,734","345,510","161,922","414,860","291,604","6,388,048"
2022-09,"305,090","1,422,132","533,876","592,286","157,038","270,298","146,916","300,252","521,178","30,012","123,366","326,230","454,010","346,386","162,960","416,106","292,290","6,400,426"
2022-10,"305,754","1,425,036","535,240","593,686","157,430","270,660","147,362","300,356","520,066","29,972","123,574","327,168","454,894","346,934","163,740","417,304","293,012","6,412,188"
2022-11,"306,340","1,426,840","535,710","594,784","157,578","271,112","148,012","299,960","519,234","29,944","123,792","326,960","455,704","347,366","165,130","418,088","293,608","6,420,162"
2022-12,"306,560","1,427,010","536,144","595,160","157,714","270,620","148,170","299,238","518,412","29,884","123,796","327,548","456,624","347,418","165,768","418,450","293,726","6,422,242"
2023-01,"307,574","1,430,982","537,238","596,890","157,866","270,796","148,442","299,276","516,782","29,966","124,086","327,888","458,274","348,480","166,128","419,784","294,808","6,435,260"
2023-02,"308,712","1,433,318","539,026","599,120","158,226","271,506","148,574","299,794","514,226","30,010","124,962","328,196","460,200","349,768","167,314","421,288","295,978","6,450,218"
2023-03,"309,376","1,435,432","540,194","601,182","158,466","271,108","148,522","299,772","507,078","30,136","124,682","328,498","462,198","351,932","168,152","423,766","297,156","6,457,650"
2023-04,"308,910","1,435,030","539,152","600,342","157,594","270,754","148,372","299,258","505,946","30,114","124,560","328,294","461,526","351,992","168,126","423,442","297,382","6,450,794"
2023-05,"308,578","1,435,420","538,532","599,866","156,952","270,730","148,304","299,104","504,620","30,102","124,628","328,344","461,564","350,792","168,452","423,420","297,126","6,446,534"
2023-06,"308,796","1,435,208","539,096","600,248","156,770","270,580","148,398","298,818","503,686","30,138","124,972","327,732","461,948","350,826","166,966","423,376","296,958","6,444,516"
2023-07,"308,992","1,438,808","539,686","591,230","156,628","280,968","148,572","298,708","502,088","30,270","125,302","328,158","462,840","351,304","167,134","424,234","297,312","6,452,234"
2023-08,"308,958","1,436,712","539,142","591,354","156,386","280,434","147,754","298,600","500,312","30,182","125,150","328,410","462,932","351,338","167,082","424,466","297,974","6,447,186"
2023-09,"309,084","1,435,286","538,874","591,724","156,234","280,290","147,256","298,302","499,848","30,128","124,982","328,276","463,358","351,772","167,480","424,672","297,980","6,445,546"
2023-10,"309,344","1,434,206","539,140","591,900","156,146","280,040","147,162","298,058","498,890","30,162","125,206","329,862","464,338","351,774","167,992","425,768","297,596","6,447,584"
2023-11,"309,700","1,435,268","539,542","592,440","156,282","279,800","147,178","297,932","497,950","30,180","125,372","331,364","465,374","351,596","168,512","426,504","297,644","6,452,638"
2023-12,"309,544","1,434,268","539,238","592,448","156,090","279,600","147,202","297,394","496,448","30,192","125,208","331,554","466,174","351,636","168,986","426,836","297,570","6,450,388"
2024-01,"310,008","1,435,900","539,912","593,586","156,046","279,664","147,408","296,978","495,568","30,168","125,416","332,496","467,322","352,322","169,280","427,622","298,088","6,457,784"
2024-02,"310,198","1,437,016","541,078","594,426","156,168","279,658","147,438","296,744","495,554","30,156","125,616","332,774","468,142","352,732","169,472","428,600","298,346","6,464,118"
2024-03,"310,036","1,436,592","541,554","595,410","156,324","279,866","146,848","296,146","493,756","30,224","125,554","331,436","468,782","352,814","169,390","429,602","298,692","6,463,026"
2024-04,"309,502","1,434,602","539,906","593,490","155,662","278,810","146,244","295,486","492,828","30,224","125,420","330,960","467,822","351,792","169,364","428,774","298,336","6,449,222"
2024-05,"309,092","1,432,982","539,516","592,988","155,054","278,490","146,054","295,064","492,028","30,118","125,494","331,400","467,666","351,736","169,678","428,688","297,426","6,443,474"
2024-06,"309,072","1,433,392","539,296","593,118","155,166","278,814","145,688","294,816","490,980","30,158","125,590","331,662","467,704","351,890","169,968","428,938","297,588","6,443,840"
