date,강원,경기,경남,경북,광주,대구,대전,부산,서울,세종,울산,인천,전남,전북,제주,충남,충북,합계 : 자가용
2020-01,"290,786","1,364,020","531,162","582,610","158,216","280,160","149,698","306,186","539,164","29,058","123,114","321,950","440,576","339,434","150,576","406,202","284,726","6,297,638"
2020-02,"291,238","1,361,580","532,252","583,604","158,404","280,108","149,720","305,848","537,984","29,144","123,242","321,442","441,254","340,274","150,930","407,222","285,420","6,299,666"
2020-03,"291,054","1,362,608","530,506","582,248","158,200","280,726","149,834","304,698","538,624","29,228","123,438","321,276","441,154","339,706","151,412","407,294","285,286","6,297,292"
2020-04,"291,618","1,364,660","530,568","582,734","157,698","280,172","149,276","304,226","538,026","29,266","122,988","321,342","441,850","337,634","151,088","406,064","284,976","6,294,186"
2020-05,"292,310","1,366,050","530,636","583,148","156,860","278,012","148,568","303,856","537,570","29,088","122,830","321,476","442,748","337,550","151,200","406,370","285,172","6,293,444"
2020-06,"293,342","1,369,810","530,836","584,078","156,658","277,420","148,310","303,500","537,170","29,064","122,864","319,226","443,984","338,118","151,344","407,026","285,744","6,298,494"
2020-07,"294,376","1,370,192","531,186","585,086","157,190","277,808","148,698","303,058","536,904","29,232","123,104","321,366","445,176","338,930","151,978","407,996","285,720","6,308,000"
2020-08,"294,540","1,371,234","530,742","584,836","156,972","277,702","148,694","302,642","537,246","29,272","122,722","320,954","444,846","338,906","152,664","408,370","285,560","6,307,902"
2020-09,"295,140","1,372,944","531,450","585,034","157,190","277,694","149,546","302,460","539,088","29,240","122,570","321,148","445,224","339,136","153,242","408,328","285,806","6,315,240"
2020-10,"295,854","1,374,960","530,784","585,644","156,970","275,814","148,710","302,676","538,796","29,366","122,364","321,234","445,566","339,422","153,274","408,110","286,078","6,315,622"
2020-11,"296,296","1,376,872","530,104","586,176","156,828","275,284","148,444","302,844","537,728","29,458","122,364","321,504","446,130","339,670","153,486","407,736","285,832","6,316,756"
2020-12,"296,558","1,376,956","529,796","586,202","156,578","274,956","148,434","302,590","535,902","29,482","122,292","321,192","446,582","339,248","153,714","407,366","285,356","6,313,204"
2021-01,"297,224","1,381,814","531,058","587,402","156,940","275,254","148,548","302,848","535,830","29,634","122,460","321,682","448,230","340,382","153,950","408,532","285,688","6,327,476"
2021-02,"298,976","1,383,542","532,022","587,890","156,858","275,518","148,472","303,008","534,626","29,708","122,644","321,300","449,480","340,924","154,394","409,156","286,690","6,335,208"
2021-03,"299,482","1,382,120","531,732","590,224","157,262","275,644","148,614","302,778","534,444","29,902","123,106","321,264","449,614","342,248","155,378","410,270","287,346","6,341,428"
2021-04,"297,584","1,383,308","529,284","586,536","156,166","275,054","148,890","301,968","533,028","29,738","122,664","321,842","447,038","340,052","153,988","407,674","285,042","6,319,856"
2021-05,"296,950","1,383,710","528,446","582,998","155,108","272,292","146,452","301,140","531,528","29,560","121,830","321,194","445,616","338,836","153,270","405,632","283,752","6,298,314"
2021-06,"297,342","1,386,438","529,130","581,838","154,704","271,628","145,724","300,832","530,868","29,492","121,326","321,336","445,896","338,892","153,324","405,320","284,076","6,298,166"
2021-07,"297,828","1,389,454","529,624","583,162","155,046","272,266","146,474","300,758","530,558","29,554","121,546","321,276","446,370","339,788","154,206","406,470","284,862","6,309,242"
2021-08,"297,868","1,392,066","529,272","583,414","155,014","272,418","146,732","300,900","529,676","29,508","121,570","321,218","446,988","340,058","154,636","406,646","285,438","6,313,422"
2021-09,"298,094","1,393,900","529,130","583,950","155,460","271,358","146,796","300,946","528,688","29,508","121,678","321,180","447,436","340,218","155,214","407,340","285,788","6,316,684"
2021-10,"298,122","1,393,442","528,846","583,862","155,354","269,938","146,446","300,496","527,514","29,478","121,544","320,984","447,582","340,340","155,444","407,378","285,774","6,312,544"
2021-11,"298,600","1,394,726","528,978","584,112","155,510","269,720","146,336","300,566","527,642","29,430","121,608","320,976","447,616","341,050","156,112","407,846","285,572","6,316,400"
2021-12,"299,328","1,396,186","529,192","584,754","155,598","269,528","146,306","300,366","526,976","29,474","121,632","320,796","447,714","340,946","156,778","408,226","285,888","6,319,688"
2022-01,"300,332","1,400,320","530,606","586,686","155,916","270,146","146,242","300,620","526,698","29,636","121,794","321,254","449,046","341,984","157,428","409,514","286,946","6,335,168"
2022-02,"301,490","1,403,096","532,064","588,360","156,210","270,928","146,536","301,328","526,214","29,724","122,070","321,568","450,300","342,682","159,036","410,786","288,244","6,350,636"
2022-03,"302,410","1,404,558","531,500","589,916","156,334","270,364","146,388","300,028","525,302","29,864","122,182","321,794","451,172","343,544","160,342","412,078","288,828","6,356,604"
2022-04,"302,460","1,408,254","530,724","589,874","155,656","269,854","146,018","299,532","523,546","29,784","121,998","322,046","450,978","343,134","161,032","411,958","288,940","6,355,788"
