date,강원,경기,경남,경북,광주,대구,대전,부산,서울,세종,울산,인천,전남,전북,제주,충남,충북,합계 : 자가용
2020-01,"2,792","13,356","4,756","5,574","1,710","1,916","1,612","3,178","5,922",352,"1,184","3,636","4,306","3,106","1,270","3,416","2,590","60,676"
2020-02,"2,838","13,466","4,792","5,608","1,744","1,958","1,658","3,198","6,030",354,"1,208","3,640","4,338","3,184","1,302","3,444","2,638","61,400"
2020-03,"2,840","13,668","4,812","5,642","1,774","2,034","1,696","3,182","6,104",360,"1,260","3,694","4,340","3,224","1,296","3,500","2,654","62,080"
2020-04,"2,892","14,052","4,906","5,752","1,800","2,088","1,716","3,224","6,262",374,"1,298","3,748","4,422","3,252","1,300","3,526","2,680","63,292"
2020-05,"2,940","14,446","5,026","5,888","1,804","2,174","1,758","3,290","6,372",400,"1,304","3,860","4,542","3,300","1,306","3,604","2,772","64,786"
2020-06,"3,000","14,952","5,210","6,098","1,874","2,304","1,814","3,350","6,624",404,"1,360","3,968","4,582","3,378","1,308","3,734","2,882","66,842"
2020-07,"3,074","15,844","5,442","6,072","1,962","2,396","1,890","3,448","6,774",430,"1,418","4,062","4,656","3,444","1,310","3,812","2,978","69,012"
2020-08,"3,142","17,140","5,628","5,316","2,004","2,540","1,920","3,566","6,778",442,"1,458","4,126","4,736","3,484","1,328","3,914","3,070","70,592"
2020-09,"3,196","17,832","5,742","5,418","2,042","2,682","1,974","3,642","6,904",468,"1,480","4,206","4,826","3,564","1,342","4,070","3,146","72,534"
2020-10,"3,284","18,304","5,814","5,606","2,092","2,778","2,070","3,750","7,004",480,"1,514","4,286","4,908","3,628","1,350","4,160","3,204","74,232"
2020-11,"3,384","18,872","5,916","5,748","2,116","2,884","2,130","3,816","7,128",520,"1,544","4,416","4,962","3,702","1,382","4,292","3,316","76,128"
2020-12,"3,488","19,428","6,080","5,888","2,168","2,972","2,160","3,922","7,250",538,"1,572","4,446","5,120","3,758","1,382","4,414","3,434","78,020"
2021-01,"3,586","19,964","6,252","6,028","2,242","3,030","2,212","4,032","7,328",580,"1,622","4,546","5,200","3,866","1,388","4,548","3,534","79,958"
2021-02,"3,624","20,472","6,378","6,110","2,274","3,100","2,298","4,086","7,440",616,"1,656","4,640","5,296","3,892","1,406","4,668","3,638","81,594"
2021-03,"3,712","20,900","6,442","6,274","2,330","3,198","2,354","4,162","7,540",662,"1,682","4,734","5,408","3,988","1,438","4,882","3,742","83,448"
2021-04,"3,782","21,460","6,510","6,390","2,380","3,278","2,408","4,212","7,684",678,"1,748","4,788","5,452","4,014","1,544","4,988","3,862","85,178"
2021-05,"3,846","21,944","6,564","6,462","2,410","3,374","2,462","4,318","7,892",698,"1,788","4,890","5,542","4,056","1,562","5,132","3,950","86,890"
2021-06,"3,946","22,360","6,704","6,596","2,456","3,478","2,564","4,368","8,106",734,"1,776","5,028","5,638","4,136","1,664","5,288","4,076","88,918"
2021-07,"4,038","22,934","6,798","6,756","2,530","3,602","2,644","4,490","8,284",786,"1,844","5,136","5,762","4,196","1,676","5,424","4,200","91,100"
2021-08,"4,084","23,456","6,882","6,902","2,590","3,696","2,704","4,586","8,400",828,"1,862","5,252","5,816","4,252","1,844","5,454","4,238","92,846"
2021-09,"4,166","23,944","6,978","7,046","2,640","3,770","2,756","4,656","8,474",852,"1,894","5,326","5,926","4,310","1,852","5,548","4,326","94,464"
2021-10,"4,262","24,450","7,050","7,156","2,704","3,840","2,806","4,640","8,502",894,"1,940","5,380","5,988","4,358","1,878","5,748","4,390","95,986"
2021-11,"4,364","24,854","7,140","7,238","2,740","3,932","2,888","4,682","8,636",918,"1,970","5,396","6,052","4,488","2,002","5,884","4,474","97,658"
2021-12,"4,458","25,206","7,270","7,392","2,764","4,038","2,930","4,784","8,774",948,"2,004","5,506","6,148","4,586","2,024","6,052","4,582","99,466"
2022-01,"4,528","25,698","7,402","7,552","2,830","4,116","2,938","4,876","8,940",956,"2,050","5,600","6,210","4,644","2,042","6,070","4,716","101,168"
2022-02,"4,612","26,166","7,512","7,706","2,852","4,184","2,978","4,962","9,044","1,000","2,068","5,676","6,240","4,738","2,056","6,128","4,786","102,708"
2022-03,"4,688","26,780","7,654","7,848","2,952","4,256","3,040","5,050","9,160","1,014","2,118","5,752","6,312","4,784","2,090","6,264","4,880","104,642"
2022-04,"4,766","27,294","7,758","7,934","2,970","4,304","3,090","5,090","9,322","1,038","2,142","5,826","6,372","4,828","2,134","6,398","4,950","106,216"
2022-05,"4,890","27,836","7,924","8,012","3,042","4,406","3,132","5,154","9,390","1,062","2,170","5,940","6,382","4,930","2,226","6,512","5,038","108,046"
2022-06,"4,964","28,288","8,044","8,090","3,088","4,462","3,198","5,206","9,568","1,078","2,248","6,026","6,460","4,984","2,244","6,684","5,168","109,800"
2022-07,"5,062","28,754","8,150","8,298","3,130","4,552","3,276","5,304","9,676","1,112","2,268","6,156","6,548","5,056","2,322","6,818","5,280","111,762"
2022-08,"5,132","29,152","8,280","8,378","3,168","4,638","3,348","5,364","9,886","1,122","2,296","6,238","6,652","5,118","2,376","6,954","5,366","113,468"
