date,강원,경기,경남,경북,광주,대구,대전,부산,서울,세종,울산,인천,전남,전북,제주,충남,충북,합계 : 자가용
2020-01,"48,928","346,732","91,414","83,798","34,610","53,266","36,594","72,316","185,930","7,722","25,230","76,294","61,040","55,424","23,088","71,636","50,806","1,324,828"
2020-02,"48,872","344,744","91,402","83,764","34,544","53,076","36,620","72,162","184,796","7,748","25,184","75,916","61,012","55,480","23,012","71,676","50,740","1,320,748"
2020-03,"48,592","343,964","90,908","83,356","34,564","53,088","36,582","71,694","183,596","7,728","25,132","75,894","60,732","55,290","22,956","71,514","50,480","1,316,070"
2020-04,"48,462","343,722","90,610","83,228","34,502","53,076","36,402","71,460","182,904","7,702","25,004","75,654","60,630","54,904","22,824","71,056","50,396","1,312,536"
2020-05,"48,424","343,046","90,474","83,170","34,342","52,574","36,064","71,250","182,040","7,620","24,922","75,476","60,570","54,764","22,754","70,950","50,322","1,308,762"
2020-06,"48,406","341,974","90,162","83,074","34,214","52,346","35,934","70,906","181,098","7,528","24,838","75,198","60,584","54,658","22,726","70,768","50,360","1,304,774"
2020-07,"48,404","341,216","90,080","82,948","34,244","52,242","35,934","70,592","180,238","7,494","24,818","74,886","60,564","54,654","22,666","70,792","50,194","1,301,966"
2020-08,"48,264","340,454","89,856","82,740","34,132","52,112","35,874","70,424","179,316","7,454","24,630","74,516","60,340","54,528","22,668","70,638","50,068","1,298,014"
2020-09,"48,282","339,738","89,496","82,462","34,124","52,084","35,762","70,206","178,064","7,472","24,504","74,180","60,088","54,372","22,626","70,386","49,854","1,293,700"
2020-10,"48,264","338,196","89,094","82,252","33,978","51,616","35,334","69,962","177,018","7,506","24,382","74,128","59,966","54,304","22,530","70,180","49,674","1,288,384"
2020-11,"48,148","336,888","88,626","82,044","33,924","51,348","35,030","69,686","175,928","7,504","24,382","73,876","59,924","54,252","22,390","69,822","49,590","1,283,362"
2020-12,"47,990","336,036","88,514","81,916","33,868","51,210","35,120","69,262","174,630","7,480","24,296","73,558","59,810","54,062","22,358","69,546","49,352","1,279,008"
2021-01,"47,990","335,790","88,394","81,716","33,810","51,134","35,178","69,006","173,770","7,474","24,266","73,470","59,790","54,028","22,302","69,442","49,142","1,276,702"
2021-02,"47,964","334,990","88,352","81,668","33,738","51,036","35,014","68,720","172,850","7,444","24,214","73,082","59,798","53,966","22,304","69,364","49,136","1,273,640"
2021-03,"47,738","332,098","87,772","81,694","33,748","50,868","34,862","68,308","171,546","7,464","24,146","72,612","59,546","53,962","22,318","69,238","49,078","1,266,998"
2021-04,"47,160","330,498","86,890","81,048","33,388","50,476","34,786","67,848","170,366","7,426","23,956","72,294","59,026","53,472","22,054","68,532","48,564","1,257,784"
2021-05,"46,846","329,472","86,570","80,446","33,036","49,780","34,000","67,518","169,476","7,366","23,722","72,020","58,764","53,062","21,988","68,136","48,314","1,250,516"
2021-06,"46,746","328,040","86,204","80,148","32,696","49,398","33,622","67,102","168,486","7,358","23,602","71,652","58,638","52,844","21,962","67,910","48,258","1,244,666"
2021-07,"46,566","327,138","85,918","79,918","32,354","49,328","33,530","66,630","167,434","7,276","23,568","71,326","58,500","52,834","21,964","67,822","48,204","1,240,310"
2021-08,"46,386","325,990","85,534","79,650","32,138","49,196","33,490","66,364","166,506","7,280","23,456","70,880","58,452","52,684","21,964","67,482","48,054","1,235,506"
2021-09,"46,204","325,030","85,170","79,416","32,094","48,746","33,346","66,132","165,634","7,208","23,366","70,550","58,258","52,560","21,942","67,346","48,124","1,231,126"
2021-10,"46,070","323,834","84,860","79,196","31,994","48,350","33,056","65,880","164,790","7,294","23,308","70,256","58,168","52,416","21,866","67,154","47,900","1,226,392"
2021-11,"45,834","322,644","84,522","79,066","31,870","48,186","32,868","65,604","164,048","7,286","23,262","69,918","57,942","52,324","21,898","67,010","47,692","1,221,974"
2021-12,"45,618","321,788","84,160","78,916","31,784","48,000","32,874","65,282","163,168","7,286","23,168","69,640","57,672","52,156","21,896","66,828","47,552","1,217,788"
2022-01,"45,562","321,278","84,066","78,800","31,764","47,880","32,742","65,108","162,280","7,312","23,084","69,356","57,520","52,032","21,862","66,668","47,370","1,214,684"
2022-02,"45,444","320,248","83,828","78,736","31,674","47,676","32,618","64,928","161,566","7,354","23,030","69,144","57,408","51,902","21,824","66,532","47,396","1,211,308"
2022-03,"45,440","318,952","83,260","78,492","31,504","47,472","32,376","64,182","160,598","7,328","22,826","68,844","57,240","51,778","21,688","66,406","47,278","1,205,664"
2022-04,"45,274","317,758","82,724","78,168","31,102","47,182","32,060","63,836","159,756","7,296","22,632","68,570","56,836","51,396","21,676","65,956","47,066","1,199,288"
2022-05,"44,932","316,378","82,330","77,740","30,794","46,932","31,830","63,490","159,084","7,254","22,470","68,212","56,556","51,210","21,530","65,810","46,908","1,193,460"
2022-06,"44,776","315,198","81,984","77,566","30,608","46,794","31,688","63,286","158,334","7,272","22,458","67,962","56,426","51,156","21,440","65,702","46,810","1,189,460"
2022-07,"44,716","314,168","81,688","77,468","30,538","46,576","31,530","63,102","157,648","7,244","22,384","67,848","56,326","51,048","21,402","65,576","46,748","1,186,010"
2022-08,"44,554","312,842","81,496","77,284","30,514","46,440","31,424","62,840","156,938","7,232","22,318","67,596","56,170","50,946","21,412","65,392","46,670","1,182,068"
2022-09,"44,454","311,606","81,194","76,956","30,402","46,308","31,204","62,586","156,198","7,214","22,198","67,342","55,990","50,822","21,416","65,158","46,596","1,177,644"
2022-10,"44,296","310,582","80,994","76,726","30,268","46,150","31,070","62,296","155,536","7,160","22,138","67,050","55,886","50,690","21,256","65,070","46,418","1,173,586"
2022-11,"44,224","309,760","80,794","76,592","30,242","46,028","30,970","62,054","154,916","7,130","22,106","66,822","55,770","50,590","21,192","65,000","46,382","1,170,572"
2022-12,"44,054","309,434","80,418","76,490","30,152","45,920","30,846","61,738","154,044","7,100","22,044","66,502","55,680","50,492","21,186","64,832","46,318","1,167,250"
2023-01,"43,960","308,510","80,286","76,390","30,156","45,814","30,768","61,554","153,532","7,056","22,006","66,378","55,576","50,396","21,146","64,816","46,296","1,164,640"
2023-02,"43,916","307,762","80,294","76,304","30,096","45,718","30,688","61,258","152,746","7,020","21,962","66,218","55,544","50,382","21,096","64,704","46,186","1,161,894"
2023-03,"43,726","305,298","79,808","76,070","30,002","45,568","30,372","60,834","151,732","7,030","21,776","65,720","55,482","50,250","21,036","64,504","46,058","1,155,266"
2023-04,"43,266","303,610","79,172","75,700","29,714","45,258","30,142","60,482","150,898","6,978","21,656","65,226","55,124","49,878","21,024","64,102","45,872","1,148,102"
2023-05,"42,978","302,012","78,916","75,270","29,544","45,060","30,026","60,252","149,978","6,940","21,598","64,808","54,846","49,358","20,914","63,560","45,500","1,141,560"
2023-06,"42,786","300,498","78,674","74,976","29,360","44,910","29,898","59,928","149,362","6,918","21,514","64,504","54,696","49,048","20,824","63,186","45,332","1,136,414"
2023-07,"42,676","299,092","78,402","73,986","29,238","45,492","29,858","59,702","148,682","6,912","21,444","64,322","54,576","48,876","20,728","62,954","45,220","1,132,160"
2023-08,"42,358","297,580","78,036","73,734","29,060","45,362","29,530","59,428","147,798","6,848","21,418","64,156","54,394","48,616","20,634","62,782","45,098","1,126,832"
2023-09,"42,098","296,448","77,730","73,492","28,936","45,200","29,356","59,152","147,024","6,832","21,342","63,716","54,166","48,542","20,570","62,608","44,910","1,122,122"
2023-10,"41,938","294,890","77,486","73,278","28,778","45,006","29,182","58,968","146,072","6,782","21,314","63,322","54,016","48,460","20,524","62,416","44,722","1,117,154"
2023-11,"41,716","294,026","77,278","73,180","28,722","44,836","29,084","58,682","145,232","6,754","21,136","63,216","53,898","48,174","20,498","62,240","44,468","1,113,140"
2023-12,"41,560","293,118","77,142","72,996","28,678","44,760","29,026","58,504","144,776","6,728","21,030","63,128","53,792","48,078","20,474","62,078","44,370","1,110,238"
2024-01,"41,422","292,152","77,086","72,876","28,630","44,656","28,966","58,286","144,170","6,694","21,014","62,996","53,702","47,996","20,426","62,076","44,202","1,107,350"
2024-02,"41,320","290,920","77,054","72,858","28,542","44,546","28,976","58,100","143,708","6,692","20,960","62,912","53,614","47,972","20,380","62,092","44,118","1,104,764"
2024-03,"41,128","289,078","76,604","72,644","28,524","44,376","28,598","57,728","142,462","6,702","20,886","62,154","53,520","47,788","20,278","61,954","43,988","1,098,412"
2024-04,"40,882","286,310","76,058","72,196","28,264","44,008","28,284","57,348","141,680","6,660","20,730","61,602","53,150","47,334","20,154","61,536","43,750","1,089,946"
2024-05,"40,652","284,382","75,750","71,822","28,014","43,704","28,112","57,120","140,770","6,570","20,720","61,286","52,904","47,072","20,044","61,118","43,318","1,083,358"
2024-06,"40,554","283,236","75,524","71,752","27,944","43,542","28,030","56,890","139,920","6,516","20,630","61,116","52,692","46,866","19,964","61,060","43,170","1,079,406"
