date,강원,경기,경남,경북,광주,대구,대전,부산,서울,세종,울산,인천,전남,전북,제주,충남,충북,합계 : 관용
2020-01,340,994,380,496,158,238,150,260,708,82,86,270,354,312,158,518,240,"5,744"
2020-02,338,982,382,498,158,238,148,262,702,82,84,264,354,310,156,516,242,"5,716"
2020-03,340,980,388,492,156,238,148,264,704,82,84,264,354,310,162,518,236,"5,720"
2020-04,348,"1,000",388,498,154,240,154,266,704,82,84,264,354,310,162,522,236,"5,766"
2020-05,346,"1,002",394,496,152,244,154,270,700,82,84,258,354,314,166,522,238,"5,776"
2020-06,352,"1,030",402,502,162,242,158,270,700,84,84,252,364,320,166,528,234,"5,850"
2020-07,358,"1,036",408,500,162,242,160,274,706,80,84,244,364,314,168,528,236,"5,864"
2020-08,358,"1,034",408,502,164,242,160,274,716,80,86,242,372,314,166,538,232,"5,888"
2020-09,360,"1,110",402,500,164,240,158,276,736,80,86,242,370,318,168,542,236,"5,988"
2020-10,358,"1,112",404,496,162,244,156,276,748,80,86,242,364,318,168,542,236,"5,992"
2020-11,362,"1,116",408,494,160,244,154,276,744,90,86,240,360,318,164,536,242,"5,994"
2020-12,370,"1,116",408,496,160,244,152,276,748,92,88,240,364,322,162,540,240,"6,018"
2021-01,372,"1,108",406,498,160,244,150,278,742,98,88,238,364,326,164,540,240,"6,016"
2021-02,374,"1,102",400,502,160,244,150,280,740,100,88,238,362,328,162,542,238,"6,010"
2021-03,372,"1,108",400,500,160,240,150,278,740,100,90,234,362,326,160,538,238,"5,996"
2021-04,368,"1,114",400,500,160,240,150,274,736,100,90,232,366,328,162,544,238,"6,002"
2021-05,370,"1,112",400,508,162,244,150,276,748,96,88,234,364,332,160,546,238,"6,028"
2021-06,372,"1,112",410,514,162,242,148,278,746,96,88,238,364,332,160,554,240,"6,056"
2021-07,374,"1,114",412,520,164,242,142,278,744,96,88,238,366,332,158,554,244,"6,066"
2021-08,372,"1,144",416,522,164,240,142,276,740,100,88,240,366,328,154,556,248,"6,096"
2021-09,372,"1,148",418,524,164,240,136,276,742,100,88,242,366,328,154,560,250,"6,108"
2021-10,378,"1,142",414,528,164,240,136,288,750,100,88,242,370,324,152,560,254,"6,130"
2021-11,380,"1,142",416,526,164,246,136,288,748,100,88,244,376,324,152,564,256,"6,150"
2021-12,388,"1,166",420,530,166,252,134,290,794,98,90,252,386,326,150,566,274,"6,282"
2022-01,388,"1,166",420,534,166,258,148,292,792,100,90,254,388,328,148,560,274,"6,306"
2022-02,388,"1,170",430,536,168,266,148,298,784,100,88,254,382,326,148,560,272,"6,318"
2022-03,390,"1,182",438,546,168,266,152,294,790,100,90,254,386,340,150,572,270,"6,388"
2022-04,398,"1,192",440,546,168,268,152,296,796,100,90,256,396,340,150,570,280,"6,438"
2022-05,408,"1,202",442,550,170,268,154,300,800,102,92,254,400,344,162,574,278,"6,500"
2022-06,412,"1,220",442,608,172,268,152,302,802,102,92,260,402,346,162,574,280,"6,596"
2022-07,424,"1,210",446,624,170,268,152,302,798,104,92,260,402,342,160,578,286,"6,618"
2022-08,422,"1,214",444,622,172,268,152,302,798,104,92,260,406,350,160,580,290,"6,636"
2022-09,422,"1,222",448,624,172,270,152,304,802,110,92,260,410,350,162,584,294,"6,678"
2022-10,426,"1,230",448,634,172,272,152,302,804,108,90,266,418,352,162,596,288,"6,720"
2022-11,450,"1,232",458,638,172,276,154,302,788,118,92,276,420,358,164,602,286,"6,786"
2022-12,452,"1,244",460,640,170,282,154,304,826,118,90,288,424,362,164,616,288,"6,882"
2023-01,462,"1,244",462,660,170,284,162,308,824,118,90,280,428,372,164,604,286,"6,918"
2023-02,472,"1,252",470,660,170,286,162,308,818,120,90,278,426,374,164,604,286,"6,940"
2023-03,480,"1,250",518,670,172,286,160,308,816,122,92,278,430,374,162,610,292,"7,020"
2023-04,482,"1,234",526,670,174,282,160,306,816,122,92,280,434,378,158,612,292,"7,018"
2023-05,482,"1,228",542,666,174,282,162,306,812,122,92,268,436,376,158,614,300,"7,020"
2023-06,482,"1,236",564,664,174,284,162,306,814,130,92,266,440,378,160,614,302,"7,068"
2023-07,488,"1,218",570,710,172,290,162,310,816,130,96,266,444,384,160,616,300,"7,132"
2023-08,496,"1,220",576,714,172,296,164,310,814,130,98,266,438,384,160,616,300,"7,154"
2023-09,504,"1,220",574,732,174,304,164,312,822,130,100,270,442,384,162,622,318,"7,234"
2023-10,514,"1,230",588,736,176,308,170,314,830,130,100,290,446,382,164,622,324,"7,324"
2023-11,524,"1,226",592,736,176,304,164,314,836,130,102,290,448,396,160,636,328,"7,362"
2023-12,532,"1,248",596,740,176,306,162,312,840,130,100,290,452,398,160,632,330,"7,404"
2024-01,536,"1,244",598,742,178,310,162,314,866,130,102,284,456,408,160,640,326,"7,456"
2024-02,534,"1,238",602,744,176,312,162,314,854,130,102,286,456,412,156,624,326,"7,428"
2024-03,534,"1,242",608,754,176,314,162,314,852,130,102,288,452,412,156,620,324,"7,440"
2024-04,538,"1,242",634,760,176,314,160,314,846,130,104,286,454,406,160,626,324,"7,474"
2024-05,542,"1,250",640,742,178,314,160,314,846,130,104,286,450,408,160,630,324,"7,478"
2024-06,544,"1,256",650,760,178,310,160,310,848,130,106,284,452,410,160,644,328,"7,530"
