date,강원,경기,경남,경북,광주,대구,대전,부산,서울,세종,울산,인천,전남,전북,제주,충남,충북,합계 : 자가용
2020-01,"1,164,520","9,340,464","2,637,812","2,115,408","1,091,716","1,936,802","1,099,448","2,158,118","5,084,560","284,744","937,338","2,173,738","1,331,386","1,372,392","559,148","1,671,914","1,261,074","36,220,582"
2020-02,"1,166,272","9,347,392","2,641,858","2,117,650","1,092,746","1,937,784","1,100,364","2,159,126","5,081,714","286,614","937,376","2,173,728","1,332,904","1,373,652","559,960","1,674,570","1,263,712","36,247,422"
2020-03,"1,168,800","9,392,990","2,645,512","2,118,336","1,097,062","1,941,704","1,104,694","2,159,806","5,087,134","288,454","939,504","2,179,666","1,336,570","1,376,748","566,450","1,679,014","1,273,018","36,355,462"
2020-04,"1,172,504","9,444,290","2,652,534","2,122,408","1,101,212","1,948,440","1,107,618","2,164,776","5,096,190","289,616","941,266","2,186,460","1,340,814","1,379,896","567,942","1,682,440","1,276,798","36,475,204"
2020-05,"1,177,786","9,492,060","2,659,502","2,127,762","1,104,600","1,951,674","1,110,764","2,171,342","5,107,790","290,400","943,078","2,193,444","1,346,188","1,384,942","570,814","1,688,618","1,281,886","36,602,650"
2020-06,"1,184,816","9,548,990","2,670,040","2,135,442","1,109,576","1,959,326","1,114,276","2,179,948","5,125,410","291,270","946,642","2,201,884","1,352,540","1,390,740","573,774","1,698,288","1,289,754","36,772,716"
2020-07,"1,190,514","9,585,390","2,677,248","2,140,960","1,112,524","1,967,572","1,117,500","2,183,254","5,135,662","292,934","950,568","2,208,856","1,357,570","1,394,356","576,372","1,705,432","1,294,402","36,891,114"
2020-08,"1,193,578","9,611,684","2,678,860","2,143,642","1,112,006","1,981,378","1,116,946","2,185,900","5,138,562","294,560","950,564","2,205,630","1,359,416","1,396,016","578,028","1,708,170","1,296,626","36,951,566"
2020-09,"1,197,410","9,659,342","2,685,356","2,148,406","1,116,302","1,990,980","1,120,428","2,191,212","5,145,864","295,964","951,674","2,210,136","1,363,322","1,399,648","580,442","1,714,202","1,301,382","37,072,070"
2020-10,"1,200,690","9,696,274","2,690,590","2,153,494","1,117,868","1,992,178","1,121,008","2,195,898","5,152,038","299,026","952,444","2,214,656","1,367,124","1,402,466","581,774","1,718,020","1,305,168","37,160,716"
2020-11,"1,204,980","9,737,226","2,696,680","2,159,672","1,120,886","1,996,538","1,122,792","2,201,668","5,161,140","302,158","954,488","2,222,616","1,372,144","1,406,894","583,812","1,723,198","1,309,454","37,276,346"
2020-12,"1,207,594","9,775,830","2,703,798","2,164,816","1,122,032","2,000,210","1,124,440","2,206,260","5,164,002","304,754","956,196","2,230,188","1,376,786","1,409,374","586,386","1,727,478","1,312,996","37,373,140"
2021-01,"1,211,228","9,821,164","2,712,446","2,171,924","1,124,838","2,003,390","1,127,336","2,212,888","5,169,900","307,398","959,276","2,240,952","1,382,270","1,412,282","588,126","1,732,994","1,316,666","37,495,078"
2021-02,"1,214,490","9,850,876","2,720,264","2,177,520","1,125,952","2,004,590","1,127,576","2,217,100","5,170,664","309,360","960,120","2,246,522","1,386,366","1,415,590","589,438","1,737,854","1,320,202","37,574,484"
2021-03,"1,218,332","9,876,750","2,726,918","2,185,712","1,127,774","2,006,880","1,128,464","2,221,082","5,173,826","311,186","961,756","2,252,536","1,390,820","1,419,530","591,742","1,744,456","1,324,182","37,661,946"
2021-04,"1,218,870","9,909,280","2,732,088","2,188,478","1,128,002","2,001,936","1,130,636","2,225,028","5,178,048","312,242","962,326","2,260,668","1,392,370","1,419,892","592,704","1,747,512","1,331,604","37,731,684"
2021-05,"1,221,684","9,938,122","2,736,870","2,190,864","1,128,164","1,998,798","1,128,312","2,230,594","5,183,256","313,272","962,146","2,267,332","1,394,724","1,420,398","594,678","1,750,128","1,334,482","37,793,824"
2021-06,"1,225,048","9,973,652","2,743,906","2,194,348","1,130,072","2,001,564","1,128,690","2,235,140","5,188,736","314,488","962,988","2,275,222","1,397,302","1,422,968","597,858","1,754,864","1,338,270","37,885,116"
2021-07,"1,228,678","10,008,834","2,754,844","2,198,690","1,131,820","1,985,798","1,130,990","2,239,302","5,207,902","316,070","964,056","2,276,020","1,400,762","1,425,986","601,114","1,760,178","1,350,732","37,981,776"
2021-08,"1,230,792","10,037,672","2,757,752","2,200,970","1,134,020","1,987,276","1,132,318","2,243,100","5,209,350","316,938","964,320","2,281,552","1,402,708","1,427,872","602,986","1,763,038","1,353,042","38,045,706"
