date,강원,경기,경남,경북,광주,대구,대전,부산,서울,세종,울산,인천,전남,전북,제주,충남,충북,합계 : 관용
2020-01,"3,030","8,262","3,830","3,434","1,208","1,744","1,062","2,464","6,950",338,860,"2,062","3,068","2,546",902,"2,324","1,932","46,016"
2020-02,"3,036","8,228","3,798","3,432","1,196","1,742","1,058","2,462","6,970",336,862,"2,076","3,068","2,504",896,"2,320","1,924","45,908"
2020-03,"3,018","8,232","3,796","3,420","1,198","1,780","1,056","2,460","7,102",332,848,"2,068","3,076","2,512",896,"2,340","1,930","46,064"
2020-04,"3,030","8,256","3,794","3,436","1,196","1,798","1,058","2,472","7,192",332,858,"2,098","3,080","2,516",908,"2,348","1,922","46,294"
2020-05,"3,096","8,462","3,800","3,492","1,178","1,786","1,058","2,486","7,190",332,858,"2,092","3,108","2,588",940,"2,396","1,954","46,816"
2020-06,"3,140","8,608","3,850","3,596","1,202","1,784","1,086","2,624","7,420",346,886,"2,146","3,164","2,648",962,"2,404","1,968","47,834"
2020-07,"3,148","8,560","3,866","3,610","1,210","1,772","1,068","2,620","7,578",352,896,"2,182","3,186","2,632",966,"2,416","1,994","48,056"
2020-08,"3,150","8,552","3,840","3,546","1,190","1,814","1,070","2,628","7,534",350,902,"2,188","3,228","2,652",960,"2,466","2,008","48,078"
2020-09,"3,170","8,552","3,824","3,534","1,194","1,788","1,074","2,548","7,544",350,904,"2,148","3,192","2,656",982,"2,476","2,020","47,956"
2020-10,"3,150","8,554","3,798","3,532","1,176","1,796","1,066","2,552","7,520",346,888,"2,142","3,182","2,646",994,"2,448","2,002","47,792"
2020-11,"3,148","8,566","3,790","3,522","1,190","1,794","1,064","2,546","7,480",342,892,"2,118","3,188","2,640",984,"2,452","2,034","47,750"
2020-12,"3,140","8,526","3,824","3,536","1,194","1,786","1,072","2,522","7,610",352,904,"2,096","3,196","2,648",974,"2,454","2,042","47,876"
2021-01,"3,134","8,514","3,820","3,516","1,190","1,778","1,072","2,524","7,574",354,896,"2,098","3,188","2,640",978,"2,464","2,044","47,784"
2021-02,"3,132","8,502","3,816","3,514","1,188","1,778","1,074","2,522","7,584",356,896,"2,096","3,180","2,640",978,"2,456","2,032","47,744"
2021-03,"3,144","8,488","3,820","3,546","1,188","1,776","1,070","2,524","7,610",362,894,"2,114","3,162","2,638",974,"2,454","2,034","47,798"
2021-04,"3,156","8,422","3,800","3,542","1,184","1,770","1,074","2,520","7,376",366,894,"2,112","3,166","2,638",964,"2,458","2,034","47,476"
2021-05,"3,132","8,514","3,830","3,540","1,210","1,806","1,092","2,560","7,422",366,920,"2,142","3,180","2,648",976,"2,468","2,064","47,870"
2021-06,"3,126","8,532","3,814","3,568","1,206","1,826","1,074","2,562","7,432",364,916,"2,142","3,190","2,606",974,"2,460","2,048","47,840"
2021-07,"3,132","8,548","3,822","3,570","1,198","1,816","1,072","2,534","7,448",372,922,"2,228","3,192","2,614",974,"2,482","2,058","47,982"
2021-08,"3,126","8,504","3,820","3,568","1,198","1,810","1,072","2,542","7,444",372,926,"2,218","3,192","2,620",976,"2,474","2,070","47,932"
2021-09,"3,140","8,494","3,814","3,564","1,218","1,828","1,092","2,528","7,448",372,932,"2,180","3,224","2,610",978,"2,478","2,076","47,976"
2021-10,"3,144","8,504","3,798","3,558","1,194","1,826","1,092","2,530","7,392",416,940,"2,180","3,218","2,626",974,"2,472","2,076","47,940"
2021-11,"3,156","8,488","3,796","3,550","1,194","1,830","1,096","2,536","7,418",424,946,"2,192","3,304","2,630",974,"2,518","2,080","48,132"
2021-12,"3,208","8,596","3,870","3,574","1,194","1,900","1,134","2,626","7,486",436,958,"2,210","3,402","2,696",978,"2,566","2,086","48,920"
2022-01,"3,212","8,620","3,872","3,602","1,208","1,876","1,114","2,624","7,488",436,964,"2,218","3,414","2,706",984,"2,624","2,094","49,056"
2022-02,"3,136","8,622","3,794","3,572","1,232","1,880","1,112","2,600","7,536",438,966,"2,220","3,376","2,706",972,"2,590","2,126","48,878"
2022-03,"3,136","8,608","3,792","3,572","1,218","1,880","1,110","2,596","7,534",438,970,"2,220","3,362","2,676",962,"2,582","2,082","48,738"
2022-04,"3,132","8,534","3,784","3,534","1,210","1,880","1,110","2,562","7,530",442,964,"2,216","3,314","2,660",958,"2,580","2,068","48,478"
