date,강원,경기,경남,경북,광주,대구,대전,부산,서울,세종,울산,인천,전남,전북,제주,충남,충북,합계 : 영업용
2020-01,"6,558","64,964","15,060","10,878","5,070","8,244","4,336","12,456","35,130",866,"3,972","24,810","15,754","8,468","15,504","10,892","7,732","250,694"
2020-02,"6,556","65,056","15,042","10,824","5,040","8,220","4,330","12,446","34,962",858,"3,972","24,646","15,676","8,482","15,400","10,856","7,734","250,100"
2020-03,"6,508","65,166","14,982","10,798","4,978","8,176","4,330","12,426","34,616",862,"3,962","24,370","15,534","8,466","15,230","10,890","7,640","248,934"
2020-04,"6,476","65,138","14,936","10,736","4,990","8,126","4,306","12,378","33,840",852,"3,958","24,758","15,358","8,452","14,614","10,842","7,654","247,414"
2020-05,"6,472","64,848","14,874","10,722","4,970","8,098","4,304","12,354","33,430",852,"3,910","24,568","15,292","8,468","14,590","10,808","7,650","246,210"
2020-06,"6,454","64,826","14,814","10,712","4,938","8,102","4,300","12,356","32,660",852,"3,890","24,510","15,426","8,428","14,582","10,804","7,646","245,300"
2020-07,"6,440","64,784","14,678","10,848","4,918","8,098","4,292","12,452","31,874",850,"3,886","24,294","15,544","8,390","14,602","10,726","7,630","244,306"
2020-08,"6,400","64,546","14,652","10,830","4,924","8,086","4,300","12,422","31,250",850,"3,892","23,968","15,512","8,368","14,614","10,720","7,640","242,974"
2020-09,"6,364","64,432","14,706","10,790","4,862","8,074","4,294","12,378","30,802",846,"3,876","23,616","15,512","8,360","14,674","10,724","7,594","241,904"
2020-10,"6,338","64,516","14,634","10,760","4,854","8,050","4,284","12,374","30,864",842,"3,880","23,520","15,474","8,328","14,654","10,682","7,568","241,622"
2020-11,"6,312","64,500","14,594","10,760","4,838","8,026","4,318","12,348","30,824",842,"3,872","23,420","15,442","8,340","14,714","10,660","7,558","241,368"
2020-12,"6,316","64,500","14,886","10,714","4,818","8,006","4,332","12,328","30,768",856,"3,854","23,024","15,518","8,330","14,356","10,662","7,532","240,800"
2021-01,"6,264","64,378","14,854","10,726","4,770","7,972","4,328","12,296","30,786",888,"3,846","22,218","15,596","8,312","14,218","10,628","7,514","239,594"
2021-02,"6,276","64,288","14,846","10,726","4,762","7,970","4,328","12,198","30,708",890,"3,850","21,724","15,616","8,272","14,164","10,664","7,490","238,772"
2021-03,"6,256","64,172","14,750","10,704","4,762","7,920","4,312","12,130","30,470",912,"3,848","21,438","15,530","8,246","14,056","10,720","7,476","237,702"
2021-04,"6,210","64,064","14,738","10,690","4,728","7,892","4,310","12,046","30,460",918,"3,832","21,202","15,364","8,236","13,920","10,694","7,466","236,770"
2021-05,"6,188","64,044","14,690","10,686","4,738","7,864","4,304","12,002","30,426",924,"3,838","20,874","15,440","8,224","13,884","10,712","7,476","236,314"
2021-06,"6,162","64,122","14,638","10,692","4,720","7,840","4,288","11,998","30,438",918,"3,846","20,788","15,660","8,244","13,876","10,686","7,466","236,382"
2021-07,"6,156","63,974","14,608","10,660","4,702","7,876","4,294","12,026","30,492",940,"3,844","20,686","15,658","8,228","13,980","10,676","7,458","236,258"
2021-08,"6,140","63,908","14,570","10,650","4,694","7,850","4,292","12,008","30,394",936,"3,842","20,506","15,608","8,212","13,928","10,684","7,472","235,694"
2021-09,"6,132","63,870","14,540","10,630","4,680","7,832","4,286","12,004","30,358",940,"3,836","19,748","15,964","8,154","13,858","10,666","7,472","234,970"
2021-10,"6,124","63,554","14,548","10,620","4,688","7,826","4,284","12,006","30,446",944,"3,832","19,396","15,928","8,138","13,856","10,654","7,460","234,304"
2021-11,"6,120","63,452","14,546","10,610","4,704","7,852","4,276","12,004","30,304",936,"3,826","19,194","16,106","8,126","13,836","10,666","7,460","234,018"
2021-12,"6,112","63,436","14,528","10,604","4,710","7,756","4,254","12,000","30,152",942,"3,840","18,734","16,152","8,142","13,714","10,678","7,474","233,228"
