지역,휘발유,경유,LPG,전기,년월
서울,1658291,1004636,222146,72877,2024.01
부산,744262,516019,101582,34789,2024.01
대구,602293,439473,101545,30396,2024.01
인천,843141,577568,99319,40845,2024.01
광주,320422,256415,87362,12529,2024.01
대전,355540,239334,65045,17981,2024.01
울산,307359,204582,34239,7875,2024.01
세종,98549,64447,13020,4430,2024.01
경기,3192185,2385800,391291,114735,2024.01
강원,385397,361650,55544,18247,2024.01
충북,422831,372214,69151,20003,2024.01
충남,556866,510335,89242,24194,2024.01
전북,410533,420372,91720,19827,2024.01
전남,500385,538665,104969,24276,2024.01
경북,670662,640440,124570,26934,2024.01
경남,934732,718063,135855,36410,2024.01
제주,326323,230337,47854,39439,2024.01
서울,1657137,1001314,222096,72981,2024.02
부산,744357,513976,101733,35022,2024.02
대구,602214,438484,101513,30414,2024.02
인천,843363,575515,99319,41189,2024.02
광주,320682,255891,87288,12571,2024.02
대전,355894,238874,65125,18003,2024.02
울산,307626,204191,34347,7888,2024.02
세종,98734,64341,13051,4475,2024.02
경기,3195202,2379402,392705,115414,2024.02
강원,385909,361357,55617,18240,2024.02
충북,423278,371530,69342,20009,2024.02
충남,558249,510261,89622,24055,2024.02
전북,410953,420174,91883,19804,2024.02
전남,501351,538037,104607,24336,2024.02
경북,671566,640364,124781,26985,2024.02
경남,936235,717299,135992,36534,2024.02
제주,326240,229318,47406,39535,2024.02
서울,1655673,994757,221735,74438,2024.03
부산,745197,510676,101864,36135,2024.03
대구,601676,437376,101366,30926,2024.03
인천,844012,571372,99448,42447,2024.03
광주,321020,255656,87311,12832,2024.03
대전,356633,237441,65194,18304,2024.03
울산,307860,203182,34468,8123,2024.03
세종,98925,64207,13080,4558,2024.03
경기,3199214,2369621,394403,120975,2024.03
강원,386436,360173,55698,18546,2024.03
충북,423899,370635,69519,20906,2024.03
충남,559592,509181,89965,25646,2024.03
전북,411255,419061,92015,20640,2024.03
전남,502422,535984,104483,25661,2024.03
경북,672462,639399,125063,28272,2024.03
경남,937449,714702,136127,38990,2024.03
제주,326877,227613,46992,40551,2024.03
서울,1654648,989532,221643,75282,2024.04
부산,745948,507929,101869,36963,2024.04
대구,601579,434353,101411,31242,2024.04
인천,844255,567444,99693,43698,2024.04
광주,321179,253976,87376,12997,2024.04
대전,357367,235988,65253,18549,2024.04
울산,308114,202224,34514,8255,2024.04
세종,98867,63955,13102,4620,2024.04
경기,3204156,2357013,395958,123610,2024.04
강원,387026,358625,55781,18742,2024.04
충북,424454,369242,69768,21259,2024.04
충남,561163,506815,90420,26366,2024.04
전북,411669,416507,92323,21011,2024.04
전남,504340,533412,104436,26478,2024.04
경북,673679,635917,125487,28771,2024.04
경남,938352,710095,136388,39822,2024.04
제주,328478,225838,46662,41056,2024.04
서울,1653520,985226,221543,76551,2024.05
부산,746539,505268,101982,38422,2024.05
대구,601634,432178,101581,31586,2024.05
인천,844660,565539,100288,45136,2024.05
광주,321655,252671,87445,13216,2024.05
대전,358135,235144,65364,18763,2024.05
울산,308370,201406,34604,8423,2024.05
세종,99012,63649,13116,4700,2024.05
경기,3208995,2346667,397614,127098,2024.05
강원,387641,357277,55900,19003,2024.05
충북,424889,367031,70059,21710,2024.05
충남,562484,505340,90698,26851,2024.05
전북,412096,414950,92592,21444,2024.05
전남,505648,531640,104466,27061,2024.05
경북,674593,633717,125804,29260,2024.05
경남,939386,706621,136583,40854,2024.05
제주,328614,223808,46299,41519,2024.05
서울,1653067,980762,221633,78215,2024.06
부산,747303,503261,101981,39519,2024.06
대구,602195,431418,101572,32159,2024.06
인천,843305,563271,100764,46697,2024.06
광주,322103,252069,87464,13485,2024.06
대전,359078,234244,65471,19618,2024.06
울산,308585,200749,34642,8671,2024.06
세종,99169,63531,13125,4747,2024.06
경기,3214230,2339713,399190,131038,2024.06
강원,388318,356411,56068,19268,2024.06
충북,425487,365998,70249,22231,2024.06
충남,563400,504467,90931,27330,2024.06
전북,412464,414008,92838,21918,2024.06
전남,506245,530116,104462,27622,2024.06
경북,675473,632470,126201,29838,2024.06
경남,940505,704528,136804,41818,2024.06
제주,329498,222507,45864,42436,2024.06
