지역,휘발유,경유,LPG,전기,년월
서울,1609709,1122681,271250,15353,2020.01
부산,663949,563216,119385,3223,2020.01
대구,562205,471012,114472,11274,2020.01
인천,764837,678799,135613,2660,2020.01
광주,296443,273494,86958,2479,2020.01
대전,326015,259449,69189,2618,2020.01
울산,280929,228705,38112,1441,2020.01
세종,81624,63214,12221,911,2020.01
경기,2776292,2404009,411812,11809,2020.01
강원,333513,370048,60544,2448,2020.01
충북,364725,382296,69429,2427,2020.01
충남,481775,523973,86422,2848,2020.01
전북,376381,438902,93762,1872,2020.01
전남,397034,530037,105486,3326,2020.01
경북,616832,669065,127846,4071,2020.01
경남,808648,738877,137952,3634,2020.01
제주,249045,253643,65536,18307,2020.01
