지역,휘발유,경유,LPG,전기,년월
서울,1625652,1113853,265931,19411,2020.06
부산,676048,560737,119284,4100,2020.06
대구,571733,467171,113846,12356,2020.06
인천,787711,675597,135664,3741,2020.06
광주,301730,272826,88000,2844,2020.06
대전,332051,256601,69523,3126,2020.06
울산,285011,227451,37790,2110,2020.06
세종,83686,63367,12180,1044,2020.06
경기,2851236,2411874,413578,15946,2020.06
강원,340986,371434,60491,2952,2020.06
충북,375620,382794,69912,3199,2020.06
충남,492744,522256,87225,3920,2020.06
전북,383543,436014,94590,2745,2020.06
전남,405940,531106,105594,4323,2020.06
경북,623903,669553,127671,4980,2020.06
경남,826019,738012,138509,4805,2020.06
제주,256581,252027,63200,19705,2020.06
