지역,휘발유,경유,LPG,전기
서울,1634867,1108287,258444,23393
부산,685284,562780,117516,5355
대구,582269,470980,111864,12630
인천,799077,667562,129971,5366
광주,304318,272915,88271,3210
대전,334390,255773,68666,4469
울산,288209,226286,37309,2274
세종,87114,65119,12531,1148
경기,2913663,2436919,410260,20477
강원,347387,374719,59900,4078
충북,383518,382610,69893,3883
충남,501161,523015,87293,5489
전북,387832,437597,94024,3323
전남,419839,536707,106749,5223
경북,631140,672218,126897,7051
경남,845628,748231,139291,6308
제주,264788,250406,60528,21285
