지역,휘발유,경유,LPG,전기,년월
서울,1619511,1114455,266755,18098,2020.05
부산,672457,560548,119393,3936,2020.05
대구,568233,468325,113859,12160,2020.05
인천,783305,676627,136456,3402,2020.05
광주,300184,272881,87820,2745,2020.05
대전,330324,257623,69483,3001,2020.05
울산,283679,227364,37864,1774,2020.05
세종,83335,63497,12233,1030,2020.05
경기,2831566,2407106,413463,14876,2020.05
강원,338753,370171,60538,2839,2020.05
충북,372725,382144,69783,3077,2020.05
충남,489573,521381,86929,3701,2020.05
전북,381706,435453,94372,2561,2020.05
전남,402955,529390,105523,4125,2020.05
경북,621575,668411,127499,4818,2020.05
경남,820593,737631,138313,4568,2020.05
제주,253083,251428,63258,19388,2020.05
