지역,휘발유,경유,LPG,전기
서울,1630627,1113713,262437,22118
부산,680908,561999,118926,4420
대구,578619,474675,113058,12552
인천,792683,670458,132802,4639
광주,302872,274011,87890,3151
대전,333048,257519,69049,4083
울산,286539,227232,37550,2204
세종,84925,63966,12247,1100
경기,2881842,2425638,411953,18512
강원,344484,373562,60263,3340
충북,379650,383073,69979,3467
충남,496877,524202,87257,4547
전북,385599,437154,94511,2977
전남,412819,534340,105844,4759
경북,626947,670783,127248,5816
경남,832060,740070,137355,5617
제주,264780,254930,63122,21107
