지역,휘발유,경유,LPG,전기
서울,1633187,1111941,260065,23052
부산,683673,563259,118010,5210
대구,581123,471460,112363,12570
인천,797246,670032,131572,4999
광주,303998,273409,88336,3162
대전,334005,255840,68788,4415
울산,287595,226596,37429,2249
세종,86490,64841,12440,1127
경기,2902867,2434433,410866,19903
강원,346559,374663,60037,3810
충북,382240,383280,69933,3794
충남,499847,523474,87333,5157
전북,387347,437812,94227,3269
전남,416322,535277,105825,5055
경북,629871,671873,127076,6753
경남,836723,740809,137078,6137
제주,268850,256686,63095,21261
