지역,휘발유,경유,LPG,전기
서울,1609120,1119056,270098,16438
부산,664806,563455,119342,3270
대구,562290,471196,114163,11275
인천,765341,676256,135119,2791
광주,296653,273630,86974,2489
대전,326012,259658,69267,2625
울산,280888,228751,38019,1464
세종,82156,63514,12265,933
경기,2782466,2396705,411839,12510
강원,334004,370424,60535,2459
충북,365807,382567,69398,2457
충남,482608,524682,86493,2928
전북,376497,439673,93688,1920
전남,397667,530068,105338,3346
경북,617240,670060,127684,4161
경남,810545,739943,138002,3822
제주,250327,253926,65562,18684
