지역,휘발유,경유,LPG,전기
서울,1631060,1113106,261280,22676
부산,682231,562852,118592,4696
대구,579746,472237,112724,12550
인천,794684,670465,132196,4729
광주,303233,273601,88070,3158
대전,333489,256325,68940,4197
울산,286984,226730,37499,2221
세종,85679,64482,12348,1106
경기,2891777,2430870,411204,19332
강원,345398,374186,60107,3567
충북,380831,383343,69954,3662
충남,498039,523959,87303,4878
전북,386271,437389,94362,3130
전남,414364,534620,105763,4896
경북,628279,671245,127154,6314
경남,834097,740461,137260,5924
제주,266556,255921,63188,21222
