지역,휘발유,경유,LPG,전기
서울,1649518,1077183,240940,45133
부산,714221,550411,111371,16059
대구,584780,449206,106654,18076
인천,818874,627029,113654,15191
광주,312081,266237,88883,6233
대전,341412,247724,67456,9550
울산,297231,217553,36101,3948
세종,94929,66126,12985,2180
경기,3056798,2450214,404449,50111
강원,365724,371277,58335,9117
충북,403958,380402,70304,10421
충남,525588,516001,89210,12142
전북,398182,430676,93615,8931
전남,466016,547999,111494,10658
경북,654776,664042,127818,13018
경남,886361,736135,139592,14957
제주,302434,253205,58412,26931
