지역,휘발유,경유,LPG,전기
서울,1653784,1060081,235264,57351
부산,725973,541814,108402,21916
대구,589281,444798,104736,24131
인천,822433,606327,106164,25835
광주,315490,263989,89230,8733
대전,344646,245963,66906,14163
울산,300286,214560,35640,5030
세종,96729,66012,13230,2962
경기,3097029,2443582,401549,75811
강원,373141,369433,57825,13618
충북,410120,378935,70546,14933
충남,536114,515623,89889,16467
전북,402481,428970,93459,12622
전남,494630,551999,113412,14981
경북,660730,657476,128220,18864
경남,906299,733704,139989,22081
제주,314364,246526,56028,32227
