지역,휘발유,경유,LPG,전기
서울,1647583,1083138,244262,41140
부산,708910,554771,112603,12501
대구,583193,451193,107609,16169
인천,811115,632901,116143,12942
광주,311147,267204,89127,5204
대전,339931,249033,67670,7675
울산,295735,219970,36253,3180
세종,93676,65988,12971,1879
경기,3036497,2449637,406335,40239
강원,362707,371198,58649,8042
충북,401341,380589,70414,8184
충남,521495,516679,88852,10015
전북,396347,431829,93633,7389
전남,459403,548461,111919,8837
경북,651731,663808,127799,11269
경남,878254,740440,139724,12725
제주,294902,253214,59416,25580
