지역,휘발유,경유,LPG,전기
서울,1652026,1072926,239196,48362
부산,718492,548187,110653,17206
대구,585610,447552,105804,19705
인천,823060,623097,112416,18329
광주,313151,264967,88950,6766
대전,342588,246951,67248,10468
울산,298239,216507,35977,4181
세종,95534,66060,13147,2394
경기,3069819,2449437,402952,56232
강원,367684,370066,58261,10159
충북,405598,379484,70431,11675
충남,528243,514962,89453,13298
전북,399440,429732,93484,9723
전남,471120,546708,111594,11549
경북,656989,659843,128186,14478
경남,893117,733309,139833,16486
제주,306756,250261,57713,27622
