지역,휘발유,경유,LPG,전기,년월
서울,1648319,1081777,243589,41693,2022.02
부산,710345,554887,112142,13805,2022.02
대구,583112,450957,107288,17091,2022.02
인천,812893,632340,115566,13179,2022.02
광주,311007,267190,88975,5652,2022.02
대전,340151,249104,67416,7902,2022.02
울산,296134,219647,36178,3405,2022.02
세종,94254,66201,13003,1902,2022.02
경기,3041162,2450651,405673,41266,2022.02
강원,363606,371611,58524,8179,2022.02
충북,402115,381036,70413,8664,2022.02
충남,522589,517096,88867,10525,2022.02
전북,396738,432086,93532,7456,2022.02
전남,461457,548641,111678,9203,2022.02
경북,652584,664481,127773,11540,2022.02
경남,879917,740165,139556,13536,2022.02
제주,296710,253384,59213,26184,2022.02
