지역,휘발유,경유,LPG,전기,년월
서울,1653029,1065651,237029,53798,2022.09
부산,722222,544172,109268,19858,2022.09
대구,587568,445784,105283,22329,2022.09
인천,829607,615725,109749,22375,2022.09
광주,314566,264577,89175,7887,2022.09
대전,343874,246434,67108,12525,2022.09
울산,299202,215379,35755,4651,2022.09
세종,96162,66097,13262,2677,2022.09
경기,3084739,2445343,402353,67941,2022.09
강원,371041,369921,58016,12171,2022.09
충북,408162,379496,70606,13704,2022.09
충남,532589,515232,89753,15449,2022.09
전북,400989,428998,93518,12162,2022.09
전남,478000,548195,111157,13802,2022.09
경북,657547,657944,127965,17057,2022.09
경남,901063,731595,140119,19453,2022.09
제주,311595,248289,56836,29556,2022.09
