지역,휘발유,경유,LPG,전기,년월
서울,1652723,1068087,237959,51240,2022.08
부산,720772,545593,109641,18507,2022.08
대구,587211,446540,105509,21239,2022.08
인천,828365,619030,111011,20858,2022.08
광주,313996,264590,89146,7397,2022.08
대전,343476,246774,67173,11920,2022.08
울산,298894,215880,35808,4184,2022.08
세종,95947,66163,13266,2555,2022.08
경기,3078985,2446729,401647,63314,2022.08
강원,369854,369920,58091,11538,2022.08
충북,407318,379580,70519,13210,2022.08
충남,531318,515334,89641,14438,2022.08
전북,400430,429241,93563,11353,2022.08
전남,476007,547508,111276,13050,2022.08
경북,659029,659765,128239,16429,2022.08
경남,899858,732482,140012,18245,2022.08
제주,310485,249042,57131,28790,2022.08
