지역,휘발유,경유,LPG,전기,년월
서울,1650578,1074951,240217,46723,2022.05
부산,716327,549231,110963,16630,2022.05
대구,585029,448102,106282,18808,2022.05
인천,821246,625530,112838,16859,2022.05
광주,312584,265475,88928,6462,2022.05
대전,341983,247177,67424,10213,2022.05
울산,297765,216763,35998,4134,2022.05
세종,95318,66046,13036,2307,2022.05
경기,3063077,2450385,403465,53239,2022.05
강원,366689,370341,58254,9666,2022.05
충북,404742,379749,70331,11209,2022.05
충남,526977,515123,89339,12712,2022.05
전북,398634,429945,93518,9310,2022.05
전남,468493,546608,111684,11102,2022.05
경북,656141,660832,127983,13839,2022.05
경남,889895,734295,139745,15821,2022.05
제주,305062,252140,58156,27224,2022.05
